════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-08 00:09:48
════════════════════════════════════════════════════════════

Función objetivo : x**2 + y**2*x**2 + 1
Población        : 300
Generaciones     : 250
P(cruza)         : 0.8
P(mutación)      : 0.1
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : add(sub(mul(mul(y, y), mul(x, x)), -1), mul(x, x))
Nodos       : 13
Profundidad : 4
Fitness     : 6.500000e-02
Expresión   : x**2*y**2 + x**2 + 1

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 6.082585e-30
  RMSE  : 2.466290e-15
  MAE   : 1.925069e-16
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.194002e+04       17.62
    1    1.193283e+04       11.59
    2    1.023243e+04       13.52
    3    6.113364e+03       18.63
    4    4.636938e+03       32.80
    5    4.636938e+03       57.44
    6    4.636938e+03       89.79
    7    7.046296e+03      101.56
    8    7.170427e+03      101.57
    9    5.894965e+03      108.86
   10    5.894900e+03      109.31
   11    5.042670e+02      107.81
   12    5.042670e+02      110.90
   13    3.452800e+02      116.27
   14    4.345500e+02      122.79
   15    3.792850e+02      122.28
   16    3.792850e+02      111.22
   17    1.480680e+02       97.91
   18    1.166660e+02       89.64
   19    1.166560e+02       79.21
   20    1.166560e+02       72.42
   21    1.227027e+02       64.58
   22    1.229891e+02       54.08
   23    8.225349e+01       47.51
   24    8.225349e+01       43.48
   25    8.225349e+01       44.65
   26    7.500662e+01       49.94
   27    7.500662e+01       52.47
   28    3.412000e+01       57.00
   29    2.796298e+00       61.76
   30    2.539288e+00       64.58
   31    2.609288e+00       69.86
   32    9.650000e+00       74.67
   33    1.180000e+00       74.53
   34    1.180000e+00       80.50
   35    1.180000e+00       82.25
   36    1.180000e+00       87.79
   37    1.500000e-01       84.94
   38    1.180000e+00       96.06
   39    1.180000e+00       98.66
   40    1.180000e+00      109.74
   41    1.145000e+00      112.74
   42    1.145000e+00      118.54
   43    1.145000e+00      122.27
   44    1.145000e+00      134.77
   45    1.190000e+00      142.70
   46    1.170000e+00      136.91
   47    2.099010e-01      118.66
   48    1.140000e+00       90.79
   49    1.165000e+00       75.65
   50    1.150000e+00       62.44
   51    1.145000e+00       56.73
   52    1.150000e+00       56.66
   53    1.165000e+00       56.32
   54    1.145000e+00       58.84
   55    1.165000e+00       56.56
   56    1.145000e+00       58.96
   57    1.500000e-01       56.81
   58    1.500000e-01       56.28
   59    1.500000e-01       59.32
   60    1.500000e-01       61.62
   61    1.500000e-01       59.98
   62    1.999010e-01       56.66
   63    1.999010e-01       56.79
   64    1.999010e-01       59.22
   65    1.094605e+00       56.80
   66    3.006847e-01       55.28
   67    1.449010e-01       53.45
   68    1.500000e-01       51.47
   69    1.500000e-01       50.12
   70    2.450000e-01       49.59
   71    2.250000e-01       47.29
   72    1.950000e-01       48.03
   73    1.550000e-01       48.96
   74    1.550000e-01       51.88
   75    1.750000e-01       56.94
   76    1.350000e-01       56.88
   77    1.650000e-01       55.88
   78    1.350000e-01       54.53
   79    1.350000e-01       54.34
   80    1.350000e-01       47.72
   81    1.350000e-01       43.97
   82    1.150000e-01       45.03
   83    1.350000e-01       46.58
   84    1.350000e-01       48.05
   85    1.150000e-01       47.01
   86    1.150000e-01       44.83
   87    1.350000e-01       41.98
   88    1.150000e-01       44.01
   89    1.350000e-01       44.19
   90    1.150000e-01       44.17
   91    1.250000e-01       43.94
   92    1.250000e-01       42.81
   93    1.250000e-01       44.20
   94    1.350000e-01       43.90
   95    1.350000e-01       45.27
   96    1.350000e-01       46.09
   97    1.250000e-01       45.89
   98    1.350000e-01       45.12
   99    1.150000e-01       47.26
  100    1.350000e-01       50.17
  101    1.150000e-01       50.19
  102    1.150000e-01       50.55
  103    1.350000e-01       46.09
  104    1.350000e-01       44.11
  105    1.350000e-01       45.71
  106    1.350000e-01       45.58
  107    1.350000e-01       42.35
  108    1.350000e-01       41.06
  109    1.350000e-01       41.58
  110    1.350000e-01       39.65
  111    1.250000e-01       41.72
  112    9.500000e-02       41.69
  113    1.150000e-01       41.93
  114    1.150000e-01       42.76
  115    1.150000e-01       46.16
  116    1.150000e-01       43.93
  117    1.150000e-01       46.65
  118    1.150000e-01       48.10
  119    1.150000e-01       47.96
  120    9.500000e-02       48.45
  121    1.150000e-01       49.77
  122    1.150000e-01       45.48
  123    1.250000e-01       44.31
  124    1.250000e-01       43.63
  125    1.150000e-01       44.25
  126    1.150000e-01       44.39
  127    1.350000e-01       41.51
  128    1.350000e-01       38.75
  129    1.350000e-01       37.19
  130    1.150000e-01       37.32
  131    1.150000e-01       37.89
  132    1.350000e-01       40.11
  133    1.250000e-01       41.83
  134    1.250000e-01       40.45
  135    1.150000e-01       40.12
  136    1.150000e-01       42.39
  137    1.150000e-01       41.41
  138    1.250000e-01       44.69
  139    1.150000e-01       45.03
  140    1.150000e-01       42.53
  141    1.150000e-01       40.19
  142    1.150000e-01       41.49
  143    1.150000e-01       42.07
  144    1.150000e-01       42.81
  145    6.500000e-02       43.27
  146    6.500000e-02       42.19
  147    1.150000e-01       42.00
  148    1.150000e-01       42.73
  149    1.150000e-01       43.21
  150    1.150000e-01       44.17
  151    1.150000e-01       45.45
  152    1.150000e-01       44.04
  153    1.250000e-01       42.70
  154    1.150000e-01       40.82
  155    1.150000e-01       38.14
  156    1.150000e-01       39.14
  157    1.150000e-01       37.59
  158    1.150000e-01       36.53
  159    1.150000e-01       35.92
  160    1.150000e-01       37.11
  161    1.150000e-01       38.11
  162    1.150000e-01       38.85
  163    1.150000e-01       37.60
  164    1.150000e-01       39.13
  165    1.150000e-01       39.30
  166    1.150000e-01       40.20
  167    1.150000e-01       41.21
  168    1.150000e-01       41.98
  169    1.150000e-01       43.89
  170    1.150000e-01       44.00
  171    1.150000e-01       42.06
