════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-09 13:45:41
════════════════════════════════════════════════════════════

Función objetivo : (sqrt(Abs((y + 0))) - (Abs(0) / (Abs(sqrt(Abs(x))) + 1)))
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.1
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : protectedSqrt(y)
Nodos       : 2
Profundidad : 1
Fitness     : 1.000000e-02
Expresión   : sqrt(Abs(y))

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 0.000000e+00
  RMSE  : 0.000000e+00
  MAE   : 0.000000e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.000000e-02        7.53
    1    1.000000e-02        6.40
    2    1.000000e-02        5.89
    3    1.000000e-02        5.27
    4    1.000000e-02        4.80
    5    1.000000e-02        3.96
    6    1.000000e-02        2.79
    7    1.000000e-02        2.17
    8    1.000000e-02        2.13
    9    1.000000e-02        2.08
   10    1.000000e-02        2.07
   11    1.000000e-02        2.16
   12    1.000000e-02        2.10
   13    1.000000e-02        2.09
   14    1.000000e-02        2.07
   15    1.000000e-02        2.13
   16    1.000000e-02        2.07
   17    1.000000e-02        2.11
   18    1.000000e-02        2.05
   19    1.000000e-02        2.10
   20    1.000000e-02        2.05
   21    1.000000e-02        2.10
   22    1.000000e-02        2.07
   23    1.000000e-02        2.08
   24    1.000000e-02        2.14
   25    1.000000e-02        2.10
   26    1.000000e-02        2.05
   27    1.000000e-02        2.09
   28    1.000000e-02        2.10
   29    1.000000e-02        2.16
   30    1.000000e-02        2.08
   31    1.000000e-02        2.12
   32    1.000000e-02        2.07
   33    1.000000e-02        2.10
   34    1.000000e-02        2.10
   35    1.000000e-02        2.05
   36    1.000000e-02        2.10
   37    1.000000e-02        2.12
   38    1.000000e-02        2.10
   39    1.000000e-02        2.07
   40    1.000000e-02        2.14
   41    1.000000e-02        2.10
   42    1.000000e-02        2.07
   43    1.000000e-02        2.07
   44    1.000000e-02        2.14
   45    1.000000e-02        2.11
   46    1.000000e-02        2.08
   47    1.000000e-02        2.13
   48    1.000000e-02        2.13
   49    1.000000e-02        2.14
   50    1.000000e-02        2.16
   51    1.000000e-02        2.09
   52    1.000000e-02        2.07
   53    1.000000e-02        2.19
   54    1.000000e-02        2.16
   55    1.000000e-02        2.13
   56    1.000000e-02        2.11
   57    1.000000e-02        2.09
   58    1.000000e-02        2.08
   59    1.000000e-02        2.04
   60    1.000000e-02        2.14
   61    1.000000e-02        2.12
   62    1.000000e-02        2.15
   63    1.000000e-02        2.09
   64    1.000000e-02        2.17
   65    1.000000e-02        2.11
   66    1.000000e-02        2.10
   67    1.000000e-02        2.09
   68    1.000000e-02        2.08
   69    1.000000e-02        2.11
   70    1.000000e-02        2.10
   71    1.000000e-02        2.13
   72    1.000000e-02        2.08
   73    1.000000e-02        2.05
   74    1.000000e-02        2.10
   75    1.000000e-02        2.08
   76    1.000000e-02        2.12
   77    1.000000e-02        2.16
   78    1.000000e-02        2.15
   79    1.000000e-02        2.10
   80    1.000000e-02        2.16
   81    1.000000e-02        2.12
   82    1.000000e-02        2.08
   83    1.000000e-02        2.17
   84    1.000000e-02        2.09
   85    1.000000e-02        2.09
   86    1.000000e-02        2.13
   87    1.000000e-02        2.08
   88    1.000000e-02        2.08
   89    1.000000e-02        2.02
   90    1.000000e-02        2.10
   91    1.000000e-02        2.09
   92    1.000000e-02        2.12
   93    1.000000e-02        2.08
   94    1.000000e-02        2.16
   95    1.000000e-02        2.14
   96    1.000000e-02        2.12
   97    1.000000e-02        2.13
   98    1.000000e-02        2.04
   99    1.000000e-02        2.17
  100    1.000000e-02        2.13
