════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-09 14:07:49
════════════════════════════════════════════════════════════

Función objetivo : cos(((x + y) + (3 + 1)))
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.1
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : mul(sin(add(0.8923527896078514, y)), sin(sin(x)))
Nodos       : 8
Profundidad : 3
Fitness     : 2.814331e-01
Expresión   : sin(y)*sin(sin(x))

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 2.414331e-01
  RMSE  : 4.913585e-01
  MAE   : 4.031730e-01
  R²    : 5.163588e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    5.147204e-01        7.53
    1    5.147204e-01        6.26
    2    5.147204e-01        5.47
    3    5.093848e-01        5.86
    4    5.093848e-01        6.55
    5    5.093848e-01        6.75
    6    4.380788e-01        5.86
    7    4.380788e-01        4.24
    8    4.380788e-01        2.50
    9    4.380788e-01        1.77
   10    4.380788e-01        2.10
   11    4.380788e-01        2.62
   12    4.380788e-01        2.90
   13    4.236164e-01        3.04
   14    4.236164e-01        3.28
   15    3.968126e-01        3.32
   16    3.968126e-01        3.39
   17    3.968126e-01        3.78
   18    3.968126e-01        4.08
   19    3.927239e-01        4.52
   20    3.927239e-01        4.46
   21    3.927239e-01        4.65
   22    3.927239e-01        4.87
   23    3.927239e-01        5.21
   24    3.912989e-01        6.04
   25    3.912989e-01        6.49
   26    3.912989e-01        6.58
   27    3.909904e-01        6.87
   28    3.909904e-01        7.19
   29    2.814331e-01        7.35
   30    3.909904e-01        7.39
   31    3.909904e-01        7.29
   32    3.909904e-01        7.27
   33    3.909904e-01        7.38
   34    3.909904e-01        7.39
   35    3.909904e-01        7.42
   36    3.909904e-01        7.35
   37    3.909904e-01        7.17
   38    3.909904e-01        6.97
   39    3.909904e-01        6.91
   40    3.909904e-01        6.76
   41    3.909904e-01        6.85
   42    3.909904e-01        6.89
   43    3.909904e-01        6.88
   44    3.909904e-01        6.68
   45    3.909904e-01        6.82
   46    3.625834e-01        7.00
   47    3.474053e-01        6.99
   48    3.595779e-01        7.02
   49    3.625834e-01        6.82
   50    3.625834e-01        7.00
   51    3.070338e-01        7.03
   52    3.183150e-01        7.20
   53    3.183150e-01        6.94
   54    3.183150e-01        7.17
   55    3.183150e-01        6.86
   56    3.183150e-01        7.13
   57    3.070338e-01        6.96
   58    3.070619e-01        7.13
   59    3.070619e-01        6.97
   60    2.984823e-01        7.16
   61    2.984823e-01        7.12
   62    2.984823e-01        7.32
   63    2.984823e-01        7.48
   64    2.984823e-01        7.07
   65    2.984823e-01        6.98
   66    2.984823e-01        6.87
   67    2.984823e-01        6.71
   68    2.984823e-01        6.51
   69    2.984823e-01        6.66
   70    2.888252e-01        6.81
   71    2.984823e-01        7.09
   72    2.984823e-01        7.08
   73    2.984823e-01        7.26
   74    2.984823e-01        7.00
   75    2.984823e-01        6.95
   76    2.984823e-01        6.87
   77    2.984823e-01        7.21
   78    2.984823e-01        7.48
   79    2.984823e-01        7.29
   80    2.984823e-01        7.37
   81    2.984823e-01        7.23
   82    2.984823e-01        7.00
   83    2.984823e-01        6.88
   84    2.984823e-01        6.67
   85    2.984823e-01        7.13
   86    2.984823e-01        7.59
   87    2.984823e-01        7.71
   88    2.984823e-01        7.77
   89    2.984823e-01        7.80
   90    2.984823e-01        7.66
   91    2.984823e-01        7.22
   92    2.984823e-01        6.44
   93    2.984823e-01        6.65
   94    2.984823e-01        6.75
   95    2.984823e-01        6.48
   96    2.984823e-01        6.38
   97    2.984823e-01        6.41
   98    2.984823e-01        6.30
   99    2.984823e-01        6.58
  100    2.984823e-01        6.60
