════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-09 14:14:53
════════════════════════════════════════════════════════════

Función objetivo : Abs((cos(x) / (Abs((x + y)) + 1)))
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.1
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : 0.1710747259686114
Nodos       : 1
Profundidad : 0
Fitness     : 3.882621e-02
Expresión   : 0

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 3.382621e-02
  RMSE  : 1.839190e-01
  MAE   : 1.300910e-01
  R²    : -2.675135e-02

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    5.007568e-02        7.53
    1    4.447434e-02        6.30
    2    4.341328e-02        5.53
    3    4.331305e-02        5.40
    4    4.401448e-02        5.39
    5    5.176651e-02        6.15
    6    4.881711e-02        6.11
    7    4.335007e-02        6.29
    8    4.335007e-02        6.29
    9    4.799270e-02        6.21
   10    4.799270e-02        5.40
   11    4.391396e-02        4.39
   12    4.799270e-02        2.46
   13    4.799270e-02        1.91
   14    4.799270e-02        2.27
   15    4.799270e-02        2.73
   16    4.799270e-02        2.91
   17    4.799270e-02        2.97
   18    4.799270e-02        3.00
   19    4.799270e-02        3.00
   20    4.799270e-02        3.01
   21    4.799270e-02        3.01
   22    4.799270e-02        3.09
   23    4.799270e-02        3.10
   24    4.411353e-02        3.00
   25    4.411353e-02        3.02
   26    4.411353e-02        2.99
   27    4.411353e-02        3.04
   28    4.282110e-02        2.97
   29    4.282110e-02        2.79
   30    4.282110e-02        2.41
   31    4.282110e-02        1.87
   32    4.282110e-02        1.26
   33    4.282110e-02        1.21
   34    4.282110e-02        1.22
   35    4.282110e-02        1.24
   36    4.282110e-02        1.20
   37    4.282110e-02        1.08
   38    4.282110e-02        1.11
   39    4.282110e-02        1.08
   40    4.282110e-02        1.13
   41    4.282110e-02        1.12
   42    4.282110e-02        1.17
   43    4.282110e-02        1.16
   44    4.282110e-02        1.13
   45    4.282110e-02        1.11
   46    4.282110e-02        1.18
   47    4.282110e-02        1.15
   48    4.282110e-02        1.19
   49    4.282110e-02        1.18
   50    4.282110e-02        1.16
   51    4.282110e-02        1.10
   52    4.282110e-02        1.14
   53    4.282110e-02        1.24
   54    4.282110e-02        1.11
   55    4.282110e-02        1.10
   56    4.282110e-02        1.14
   57    4.282110e-02        1.21
   58    4.282110e-02        1.14
   59    4.282110e-02        1.18
   60    4.282110e-02        1.17
   61    4.282110e-02        1.17
   62    4.282110e-02        1.15
   63    4.282110e-02        1.20
   64    4.282110e-02        1.15
   65    4.282110e-02        1.14
   66    4.282110e-02        1.19
   67    4.282110e-02        1.09
   68    4.282110e-02        1.14
   69    4.282110e-02        1.12
   70    4.282110e-02        1.21
   71    4.282110e-02        1.16
   72    4.282110e-02        1.16
   73    3.882621e-02        1.13
   74    3.882621e-02        1.14
   75    3.882621e-02        1.18
   76    3.882621e-02        1.06
   77    3.882621e-02        1.13
   78    3.882621e-02        1.19
   79    3.882621e-02        1.13
   80    3.882621e-02        1.19
   81    3.882621e-02        1.13
   82    3.882621e-02        1.10
   83    3.882621e-02        1.15
   84    3.882621e-02        1.19
   85    3.882621e-02        1.12
   86    3.882621e-02        1.18
   87    3.882621e-02        1.20
   88    3.882621e-02        1.15
   89    3.882621e-02        1.16
   90    3.882621e-02        1.10
   91    3.882621e-02        1.11
   92    3.882621e-02        1.20
   93    3.882621e-02        1.21
   94    3.882621e-02        1.17
   95    3.882621e-02        1.12
   96    3.882621e-02        1.20
   97    3.882621e-02        1.17
   98    3.882621e-02        1.11
   99    3.882621e-02        1.21
  100    3.882621e-02        1.20
