════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-09 14:22:48
════════════════════════════════════════════════════════════

Función objetivo : (-((-1 * 0) + (-y)))
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.1
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : y
Nodos       : 1
Profundidad : 0
Fitness     : 5.000000e-03
Expresión   : y

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 0.000000e+00
  RMSE  : 0.000000e+00
  MAE   : 0.000000e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    4.890043e-01        7.53
    1    2.028258e-01        6.39
    2    5.000000e-03        5.81
    3    5.000000e-03        6.31
    4    5.000000e-03        6.64
    5    5.000000e-03        6.82
    6    5.000000e-03        6.60
    7    5.000000e-03        4.92
    8    5.000000e-03        2.60
    9    5.000000e-03        1.22
   10    5.000000e-03        1.14
   11    5.000000e-03        1.15
   12    5.000000e-03        1.19
   13    5.000000e-03        1.14
   14    5.000000e-03        1.16
   15    5.000000e-03        1.13
   16    5.000000e-03        1.20
   17    5.000000e-03        1.10
   18    5.000000e-03        1.11
   19    5.000000e-03        1.13
   20    5.000000e-03        1.14
   21    5.000000e-03        1.13
   22    5.000000e-03        1.13
   23    5.000000e-03        1.14
   24    5.000000e-03        1.10
   25    5.000000e-03        1.21
   26    5.000000e-03        1.21
   27    5.000000e-03        1.29
   28    5.000000e-03        1.19
   29    5.000000e-03        1.22
   30    5.000000e-03        1.13
   31    5.000000e-03        1.10
   32    5.000000e-03        1.20
   33    5.000000e-03        1.13
   34    5.000000e-03        1.14
   35    5.000000e-03        1.17
   36    5.000000e-03        1.11
   37    5.000000e-03        1.11
   38    5.000000e-03        1.16
   39    5.000000e-03        1.10
   40    5.000000e-03        1.16
   41    5.000000e-03        1.18
   42    5.000000e-03        1.13
   43    5.000000e-03        1.10
   44    5.000000e-03        1.10
   45    5.000000e-03        1.13
   46    5.000000e-03        1.14
   47    5.000000e-03        1.18
   48    5.000000e-03        1.12
   49    5.000000e-03        1.11
   50    5.000000e-03        1.08
   51    5.000000e-03        1.20
   52    5.000000e-03        1.12
   53    5.000000e-03        1.11
   54    5.000000e-03        1.22
   55    5.000000e-03        1.15
   56    5.000000e-03        1.14
   57    5.000000e-03        1.12
   58    5.000000e-03        1.25
   59    5.000000e-03        1.10
   60    5.000000e-03        1.13
   61    5.000000e-03        1.13
   62    5.000000e-03        1.20
   63    5.000000e-03        1.18
   64    5.000000e-03        1.17
   65    5.000000e-03        1.22
   66    5.000000e-03        1.17
   67    5.000000e-03        1.18
   68    5.000000e-03        1.25
   69    5.000000e-03        1.17
   70    5.000000e-03        1.17
   71    5.000000e-03        1.10
   72    5.000000e-03        1.11
   73    5.000000e-03        1.17
   74    5.000000e-03        1.11
   75    5.000000e-03        1.17
   76    5.000000e-03        1.20
   77    5.000000e-03        1.13
   78    5.000000e-03        1.15
   79    5.000000e-03        1.10
   80    5.000000e-03        1.22
   81    5.000000e-03        1.07
   82    5.000000e-03        1.19
   83    5.000000e-03        1.18
   84    5.000000e-03        1.14
   85    5.000000e-03        1.14
   86    5.000000e-03        1.17
   87    5.000000e-03        1.13
   88    5.000000e-03        1.14
   89    5.000000e-03        1.17
   90    5.000000e-03        1.12
   91    5.000000e-03        1.21
   92    5.000000e-03        1.19
   93    5.000000e-03        1.19
   94    5.000000e-03        1.16
   95    5.000000e-03        1.13
   96    5.000000e-03        1.11
   97    5.000000e-03        1.15
   98    5.000000e-03        1.19
   99    5.000000e-03        1.17
  100    5.000000e-03        1.14
