════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-09 14:28:11
════════════════════════════════════════════════════════════

Función objetivo : sqrt(Abs(sqrt(Abs((x + y)))))
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.1
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : 1.2522994070713018
Nodos       : 1
Profundidad : 0
Fitness     : 1.007688e-01
Expresión   : 1

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 9.576878e-02
  RMSE  : 3.094653e-01
  MAE   : 2.464471e-01
  R²    : -1.459084e-03

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.380036e-01        7.53
    1    1.308590e-01        6.27
    2    1.068289e-01        5.64
    3    1.056694e-01        5.01
    4    1.061618e-01        4.87
    5    1.056694e-01        4.41
    6    1.056694e-01        3.81
    7    1.056694e-01        3.16
    8    1.056694e-01        2.60
    9    1.056694e-01        2.12
   10    1.056694e-01        2.07
   11    1.015126e-01        2.17
   12    1.015126e-01        2.12
   13    1.015126e-01        2.06
   14    1.015126e-01        2.06
   15    1.015126e-01        2.10
   16    1.015126e-01        2.01
   17    1.015126e-01        1.93
   18    1.015126e-01        1.74
   19    1.015126e-01        1.35
   20    1.015126e-01        1.16
   21    1.015126e-01        1.10
   22    1.015126e-01        1.24
   23    1.015126e-01        1.20
   24    1.015126e-01        1.25
   25    1.015126e-01        1.18
   26    1.015126e-01        1.20
   27    1.015126e-01        1.17
   28    1.015126e-01        1.11
   29    1.015126e-01        1.18
   30    1.015126e-01        1.10
   31    1.015126e-01        1.12
   32    1.015126e-01        1.18
   33    1.015126e-01        1.14
   34    1.015126e-01        1.11
   35    1.015126e-01        1.17
   36    1.015126e-01        1.11
   37    1.015126e-01        1.16
   38    1.015126e-01        1.20
   39    1.015126e-01        1.13
   40    1.015126e-01        1.09
   41    1.015126e-01        1.10
   42    1.015126e-01        1.13
   43    1.015126e-01        1.14
   44    1.015126e-01        1.18
   45    1.015126e-01        1.12
   46    1.015126e-01        1.11
   47    1.015126e-01        1.09
   48    1.015126e-01        1.18
   49    1.015126e-01        1.13
   50    1.015126e-01        1.11
   51    1.015126e-01        1.21
   52    1.015126e-01        1.14
   53    1.015126e-01        1.12
   54    1.015126e-01        1.13
   55    1.015126e-01        1.22
   56    1.015126e-01        1.10
   57    1.015126e-01        1.09
   58    1.015126e-01        1.14
   59    1.015126e-01        1.19
   60    1.015126e-01        1.15
   61    1.015126e-01        1.18
   62    1.015126e-01        1.17
   63    1.015126e-01        1.17
   64    1.015126e-01        1.15
   65    1.015126e-01        1.20
   66    1.015126e-01        1.16
   67    1.015126e-01        1.13
   68    1.015126e-01        1.19
   69    1.015126e-01        1.09
   70    1.015126e-01        1.15
   71    1.015126e-01        1.14
   72    1.015126e-01        1.18
   73    1.015126e-01        1.16
   74    1.015126e-01        1.15
   75    1.015126e-01        1.15
   76    1.015126e-01        1.13
   77    1.015126e-01        1.21
   78    1.015126e-01        1.07
   79    1.015126e-01        1.14
   80    1.015126e-01        1.18
   81    1.015126e-01        1.13
   82    1.015126e-01        1.16
   83    1.015126e-01        1.13
   84    1.015126e-01        1.10
   85    1.015126e-01        1.12
   86    1.015126e-01        1.20
   87    1.015126e-01        1.11
   88    1.007688e-01        1.18
   89    1.015126e-01        1.20
   90    1.015126e-01        1.15
   91    1.015126e-01        1.16
   92    1.015126e-01        1.10
   93    1.015126e-01        1.11
   94    1.015126e-01        1.20
   95    1.015126e-01        1.21
   96    1.015126e-01        1.17
   97    1.015126e-01        1.12
   98    1.015126e-01        1.20
   99    1.015126e-01        1.17
  100    1.015126e-01        1.11
