════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-09 14:39:30
════════════════════════════════════════════════════════════

Función objetivo : (Abs((y * -2)) - (log(Abs(x) + 1e-3) / (Abs((-1 * 3)) + 1)))
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.1
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : protectedAbs(add(y, y))
Nodos       : 4
Profundidad : 2
Fitness     : 1.249334e-01
Expresión   : 2*Abs(y)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 1.049334e-01
  RMSE  : 3.239343e-01
  MAE   : 2.605631e-01
  R²    : 9.877778e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    3.543121e+00        7.53
    1    5.084879e-01        6.54
    2    5.084879e-01        6.39
    3    1.528664e-01        7.05
    4    1.299334e-01        7.32
    5    1.249334e-01        7.85
    6    1.299334e-01        8.06
    7    1.299334e-01        7.85
    8    1.299334e-01        8.09
    9    1.299334e-01        7.78
   10    1.299334e-01        7.69
   11    1.299334e-01        7.63
   12    1.299334e-01        7.92
   13    1.299334e-01        7.94
   14    1.299334e-01        8.01
   15    1.299334e-01        7.14
   16    1.299334e-01        6.13
   17    1.299334e-01        5.71
   18    1.299334e-01        5.43
   19    1.299334e-01        5.26
   20    1.299334e-01        5.11
   21    1.299334e-01        5.17
   22    1.299334e-01        5.17
   23    1.299334e-01        5.12
   24    1.299334e-01        5.12
   25    1.299334e-01        5.18
   26    1.299334e-01        5.20
   27    1.299334e-01        5.23
   28    1.299334e-01        5.22
   29    1.299334e-01        5.19
   30    1.299334e-01        5.14
   31    1.299334e-01        5.21
   32    1.299334e-01        5.29
   33    1.299334e-01        5.21
   34    1.299334e-01        5.14
   35    1.299334e-01        5.18
   36    1.299334e-01        5.05
   37    1.299334e-01        5.19
   38    1.299334e-01        5.13
   39    1.299334e-01        5.20
   40    1.299334e-01        5.20
   41    1.299334e-01        5.12
   42    1.299334e-01        5.23
   43    1.299334e-01        5.38
   44    1.299334e-01        5.28
   45    1.299334e-01        5.18
   46    1.299334e-01        5.19
   47    1.299334e-01        5.26
   48    1.299334e-01        5.13
   49    1.299334e-01        5.17
   50    1.299334e-01        5.10
   51    1.299334e-01        5.23
   52    1.299334e-01        5.23
   53    1.299334e-01        5.33
   54    1.299334e-01        5.20
   55    1.299334e-01        5.16
   56    1.299334e-01        5.20
   57    1.299334e-01        5.14
   58    1.299334e-01        5.15
   59    1.299334e-01        5.14
   60    1.292916e-01        5.14
   61    1.292916e-01        5.19
   62    1.299334e-01        5.31
   63    1.299334e-01        5.14
   64    1.299334e-01        5.16
   65    1.299334e-01        5.12
   66    1.299334e-01        5.20
   67    1.299334e-01        5.17
   68    1.299334e-01        5.24
   69    1.299334e-01        5.29
   70    1.299334e-01        5.26
   71    1.299334e-01        5.13
   72    1.299334e-01        5.16
   73    1.299334e-01        5.11
   74    1.299334e-01        5.15
   75    1.299334e-01        5.17
   76    1.299334e-01        5.16
   77    1.299334e-01        5.20
   78    1.299334e-01        5.28
   79    1.299334e-01        5.22
   80    1.299334e-01        5.17
   81    1.299334e-01        5.27
   82    1.299334e-01        5.08
   83    1.299334e-01        5.15
   84    1.299334e-01        5.16
   85    1.299334e-01        5.19
   86    1.299334e-01        5.13
   87    1.299334e-01        5.13
   88    1.299334e-01        5.16
   89    1.299334e-01        5.08
   90    1.299334e-01        5.09
   91    1.299334e-01        5.22
   92    1.299334e-01        5.16
   93    1.299334e-01        5.11
   94    1.299334e-01        5.24
   95    1.299334e-01        5.26
   96    1.299334e-01        5.25
   97    1.299334e-01        5.23
   98    1.299334e-01        5.11
   99    1.299334e-01        5.19
  100    1.299334e-01        5.07
