════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-10 19:16:40
════════════════════════════════════════════════════════════

Función objetivo : 1/Abs(x)+1
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.25
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : 1.5153509454950855
Nodos       : 1
Profundidad : 0
Fitness     : 1.370907e+00
Expresión   : 1.51535094549509

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 1.365907e+00
  RMSE  : 1.168720e+00
  MAE   : 5.103278e-01
  R²    : -8.397758e-06

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.564733e+00        7.53
    1    1.389380e+00        5.51
    2    1.375960e+00        4.37
    3    1.375960e+00        4.16
    4    1.375960e+00        3.96
    5    1.376373e+00        3.51
    6    1.376148e+00        3.42
    7    1.375960e+00        3.03
    8    1.375960e+00        2.88
    9    1.375960e+00        2.55
   10    1.375960e+00        2.47
   11    1.375897e+00        2.21
   12    1.375897e+00        2.30
   13    1.375897e+00        2.23
   14    1.375897e+00        2.32
   15    1.375897e+00        2.17
   16    1.375897e+00        2.26
   17    1.375459e+00        2.32
   18    1.375459e+00        2.24
   19    1.375459e+00        2.27
   20    1.375459e+00        2.09
   21    1.375459e+00        2.11
   22    1.375459e+00        1.98
   23    1.375459e+00        1.65
   24    1.375459e+00        1.65
   25    1.370907e+00        1.34
   26    1.370907e+00        1.42
   27    1.370907e+00        1.38
   28    1.370907e+00        1.44
   29    1.370907e+00        1.40
   30    1.370907e+00        1.39
   31    1.370907e+00        1.40
   32    1.370907e+00        1.46
   33    1.370907e+00        1.37
   34    1.370907e+00        1.45
   35    1.370907e+00        1.44
   36    1.370907e+00        1.36
   37    1.370907e+00        1.43
   38    1.370907e+00        1.38
   39    1.370907e+00        1.57
   40    1.370907e+00        1.46
   41    1.370907e+00        1.47
   42    1.370907e+00        1.43
   43    1.370907e+00        1.39
   44    1.370907e+00        1.47
   45    1.370907e+00        1.33
   46    1.370907e+00        1.39
   47    1.370907e+00        1.43
   48    1.370907e+00        1.48
   49    1.370907e+00        1.43
   50    1.370907e+00        1.41
   51    1.370907e+00        1.37
   52    1.370907e+00        1.45
   53    1.370907e+00        1.49
   54    1.370907e+00        1.43
   55    1.370907e+00        1.43
   56    1.370907e+00        1.57
   57    1.370907e+00        1.56
   58    1.370907e+00        1.33
   59    1.370907e+00        1.42
   60    1.370907e+00        1.49
   61    1.370907e+00        1.41
   62    1.370907e+00        1.31
   63    1.370907e+00        1.28
   64    1.370907e+00        1.35
   65    1.370907e+00        1.32
   66    1.370907e+00        1.39
   67    1.370907e+00        1.47
   68    1.370907e+00        1.45
   69    1.370907e+00        1.44
   70    1.370907e+00        1.42
   71    1.370907e+00        1.42
   72    1.370907e+00        1.42
   73    1.370907e+00        1.37
   74    1.370907e+00        1.57
   75    1.370907e+00        1.42
   76    1.370907e+00        1.46
   77    1.370907e+00        1.28
   78    1.370907e+00        1.34
   79    1.370907e+00        1.44
   80    1.370907e+00        1.39
   81    1.370907e+00        1.38
   82    1.370907e+00        1.34
   83    1.370907e+00        1.46
   84    1.370907e+00        1.39
   85    1.370907e+00        1.41
   86    1.370907e+00        1.50
   87    1.370907e+00        1.41
   88    1.370907e+00        1.48
   89    1.370907e+00        1.36
   90    1.370907e+00        1.43
   91    1.370907e+00        1.30
   92    1.370907e+00        1.42
   93    1.370907e+00        1.47
   94    1.370907e+00        1.48
   95    1.370907e+00        1.33
   96    1.370907e+00        1.40
   97    1.370907e+00        1.38
   98    1.370907e+00        1.39
   99    1.370907e+00        1.43
  100    1.370907e+00        1.44
