════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-10 19:20:23
════════════════════════════════════════════════════════════

Función objetivo : x
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.25
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : x
Nodos       : 1
Profundidad : 0
Fitness     : 5.000000e-03
Expresión   : x

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 0.000000e+00
  RMSE  : 0.000000e+00
  MAE   : 0.000000e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    9.497462e-01        7.53
    1    5.000000e-03        5.44
    2    5.000000e-03        3.96
    3    5.000000e-03        3.78
    4    5.000000e-03        3.50
    5    5.000000e-03        2.72
    6    5.000000e-03        1.80
    7    5.000000e-03        1.57
    8    5.000000e-03        1.44
    9    5.000000e-03        1.45
   10    5.000000e-03        1.40
   11    5.000000e-03        1.43
   12    5.000000e-03        1.28
   13    5.000000e-03        1.39
   14    5.000000e-03        1.45
   15    5.000000e-03        1.37
   16    5.000000e-03        1.40
   17    5.000000e-03        1.34
   18    5.000000e-03        1.24
   19    5.000000e-03        1.42
   20    5.000000e-03        1.56
   21    5.000000e-03        1.36
   22    5.000000e-03        1.32
   23    5.000000e-03        1.30
   24    5.000000e-03        1.34
   25    5.000000e-03        1.42
   26    5.000000e-03        1.42
   27    5.000000e-03        1.36
   28    5.000000e-03        1.44
   29    5.000000e-03        1.31
   30    5.000000e-03        1.40
   31    5.000000e-03        1.38
   32    5.000000e-03        1.46
   33    5.000000e-03        1.41
   34    5.000000e-03        1.47
   35    5.000000e-03        1.40
   36    5.000000e-03        1.49
   37    5.000000e-03        1.43
   38    5.000000e-03        1.37
   39    5.000000e-03        1.38
   40    5.000000e-03        1.28
   41    5.000000e-03        1.39
   42    5.000000e-03        1.35
   43    5.000000e-03        1.42
   44    5.000000e-03        1.31
   45    5.000000e-03        1.29
   46    5.000000e-03        1.49
   47    5.000000e-03        1.36
   48    5.000000e-03        1.26
   49    5.000000e-03        1.40
   50    5.000000e-03        1.39
   51    5.000000e-03        1.38
   52    5.000000e-03        1.40
   53    5.000000e-03        1.36
   54    5.000000e-03        1.36
   55    5.000000e-03        1.45
   56    5.000000e-03        1.40
   57    5.000000e-03        1.48
   58    5.000000e-03        1.39
   59    5.000000e-03        1.43
   60    5.000000e-03        1.25
   61    5.000000e-03        1.44
   62    5.000000e-03        1.46
   63    5.000000e-03        1.35
   64    5.000000e-03        1.32
   65    5.000000e-03        1.35
   66    5.000000e-03        1.33
   67    5.000000e-03        1.54
   68    5.000000e-03        1.56
   69    5.000000e-03        1.35
   70    5.000000e-03        1.41
   71    5.000000e-03        1.37
   72    5.000000e-03        1.47
   73    5.000000e-03        1.37
   74    5.000000e-03        1.34
   75    5.000000e-03        1.43
   76    5.000000e-03        1.38
   77    5.000000e-03        1.45
   78    5.000000e-03        1.37
   79    5.000000e-03        1.28
   80    5.000000e-03        1.42
   81    5.000000e-03        1.48
   82    5.000000e-03        1.41
   83    5.000000e-03        1.37
   84    5.000000e-03        1.42
   85    5.000000e-03        1.38
   86    5.000000e-03        1.35
   87    5.000000e-03        1.36
   88    5.000000e-03        1.42
   89    5.000000e-03        1.50
   90    5.000000e-03        1.41
   91    5.000000e-03        1.50
   92    5.000000e-03        1.46
   93    5.000000e-03        1.51
   94    5.000000e-03        1.47
   95    5.000000e-03        1.47
   96    5.000000e-03        1.39
   97    5.000000e-03        1.29
   98    5.000000e-03        1.40
   99    5.000000e-03        1.40
  100    5.000000e-03        1.40
