════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-10 19:21:13
════════════════════════════════════════════════════════════

Función objetivo : cos(x)*sin(y)
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.25
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : -0.005710374008287111
Nodos       : 1
Profundidad : 0
Fitness     : 2.544733e-01
Expresión   : -0.00571037400828711

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 2.494733e-01
  RMSE  : 4.994730e-01
  MAE   : 4.036028e-01
  R²    : -1.307259e-04

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    2.644407e-01        7.53
    1    2.639201e-01        5.53
    2    2.639201e-01        3.98
    3    2.613090e-01        3.79
    4    2.560660e-01        3.70
    5    2.560660e-01        3.75
    6    2.560660e-01        4.09
    7    2.560660e-01        4.30
    8    2.560660e-01        4.28
    9    2.560660e-01        4.03
   10    2.560660e-01        3.70
   11    2.560660e-01        2.81
   12    2.560660e-01        2.40
   13    2.560660e-01        1.71
   14    2.560660e-01        1.47
   15    2.560660e-01        1.40
   16    2.560660e-01        1.34
   17    2.560660e-01        1.37
   18    2.560660e-01        1.26
   19    2.560660e-01        1.33
   20    2.547351e-01        1.42
   21    2.547351e-01        1.46
   22    2.547351e-01        1.41
   23    2.547351e-01        1.43
   24    2.547351e-01        1.44
   25    2.547351e-01        1.47
   26    2.547351e-01        1.36
   27    2.547351e-01        1.45
   28    2.547351e-01        1.30
   29    2.547351e-01        1.45
   30    2.547351e-01        1.31
   31    2.547351e-01        1.45
   32    2.547351e-01        1.40
   33    2.547351e-01        1.34
   34    2.547351e-01        1.34
   35    2.547351e-01        1.41
   36    2.547351e-01        1.36
   37    2.547351e-01        1.45
   38    2.547351e-01        1.44
   39    2.547351e-01        1.46
   40    2.545328e-01        1.44
   41    2.545328e-01        1.43
   42    2.545328e-01        1.54
   43    2.545328e-01        1.49
   44    2.545328e-01        1.39
   45    2.545328e-01        1.36
   46    2.545328e-01        1.37
   47    2.545328e-01        1.41
   48    2.545328e-01        1.39
   49    2.545328e-01        1.48
   50    2.545328e-01        1.36
   51    2.545328e-01        1.42
   52    2.545328e-01        1.35
   53    2.545328e-01        1.43
   54    2.545328e-01        1.42
   55    2.545328e-01        1.42
   56    2.545328e-01        1.39
   57    2.545328e-01        1.45
   58    2.545328e-01        1.40
   59    2.545328e-01        1.59
   60    2.545328e-01        1.55
   61    2.545328e-01        1.32
   62    2.545328e-01        1.47
   63    2.545328e-01        1.43
   64    2.545328e-01        1.37
   65    2.545328e-01        1.30
   66    2.545328e-01        1.28
   67    2.545328e-01        1.36
   68    2.545328e-01        1.34
   69    2.545328e-01        1.43
   70    2.545328e-01        1.43
   71    2.545328e-01        1.45
   72    2.545328e-01        1.38
   73    2.545328e-01        1.45
   74    2.545328e-01        1.40
   75    2.545328e-01        1.37
   76    2.545328e-01        1.36
   77    2.545328e-01        1.45
   78    2.545328e-01        1.38
   79    2.545328e-01        1.45
   80    2.545328e-01        1.27
   81    2.545328e-01        1.36
   82    2.545328e-01        1.43
   83    2.545328e-01        1.42
   84    2.545328e-01        1.37
   85    2.545328e-01        1.31
   86    2.545328e-01        1.44
   87    2.545328e-01        1.42
   88    2.545328e-01        1.54
   89    2.544733e-01        1.46
   90    2.544733e-01        1.36
   91    2.544733e-01        1.47
   92    2.544733e-01        1.36
   93    2.544733e-01        1.45
   94    2.544733e-01        1.33
   95    2.544733e-01        1.39
   96    2.544733e-01        1.44
   97    2.544733e-01        1.44
   98    2.544733e-01        1.33
   99    2.544733e-01        1.43
  100    2.544733e-01        1.38
