════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-10 19:22:28
════════════════════════════════════════════════════════════

Función objetivo : cos(x)*sin(y)
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.25
Peso complejidad : 0.005
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : 0.0011887375087011876
Nodos       : 1
Profundidad : 0
Fitness     : 2.544421e-01
Expresión   : 0.00118873750870119

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 2.494421e-01
  RMSE  : 4.994418e-01
  MAE   : 4.035576e-01
  R²    : -5.665061e-06

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    2.644407e-01        8.00
    1    2.627932e-01        5.36
    2    2.621619e-01        3.79
    3    2.594655e-01        3.32
    4    2.602655e-01        3.05
    5    2.602655e-01        3.29
    6    2.602655e-01        3.08
    7    2.603027e-01        3.06
    8    2.603027e-01        3.03
    9    2.554555e-01        2.92
   10    2.554555e-01        2.91
   11    2.544421e-01        2.91
   12    2.544421e-01        2.64
   13    2.544421e-01        2.32
   14    2.544421e-01        1.75
   15    2.544421e-01        1.66
   16    2.544421e-01        1.36
   17    2.544421e-01        1.35
   18    2.544421e-01        1.36
   19    2.544421e-01        1.44
   20    2.544421e-01        1.26
   21    2.544421e-01        1.55
   22    2.544421e-01        1.48
   23    2.544421e-01        1.30
   24    2.544421e-01        1.50
   25    2.544421e-01        1.38
   26    2.544421e-01        1.42
   27    2.544421e-01        1.38
   28    2.544421e-01        1.41
   29    2.544421e-01        1.39
   30    2.544421e-01        1.36
   31    2.544421e-01        1.37
   32    2.544421e-01        1.35
   33    2.544421e-01        1.43
   34    2.544421e-01        1.35
   35    2.544421e-01        1.48
   36    2.544421e-01        1.46
   37    2.544421e-01        1.47
   38    2.544421e-01        1.43
   39    2.544421e-01        1.40
   40    2.544421e-01        1.49
   41    2.544421e-01        1.42
   42    2.544421e-01        1.37
   43    2.544421e-01        1.46
   44    2.544421e-01        1.44
   45    2.544421e-01        1.48
   46    2.544421e-01        1.40
   47    2.544421e-01        1.33
   48    2.544421e-01        1.42
   49    2.544421e-01        1.42
   50    2.544421e-01        1.46
   51    2.544421e-01        1.40
   52    2.544421e-01        1.45
   53    2.544421e-01        1.37
   54    2.544421e-01        1.45
   55    2.544421e-01        1.38
   56    2.544421e-01        1.34
   57    2.544421e-01        1.32
   58    2.544421e-01        1.41
   59    2.544421e-01        1.31
   60    2.544421e-01        1.36
   61    2.544421e-01        1.35
   62    2.544421e-01        1.39
   63    2.544421e-01        1.31
   64    2.544421e-01        1.38
   65    2.544421e-01        1.39
   66    2.544421e-01        1.40
   67    2.544421e-01        1.44
   68    2.544421e-01        1.41
   69    2.544421e-01        1.50
   70    2.544421e-01        1.44
   71    2.544421e-01        1.47
   72    2.544421e-01        1.37
   73    2.544421e-01        1.52
   74    2.544421e-01        1.47
   75    2.544421e-01        1.32
   76    2.544421e-01        1.44
   77    2.544421e-01        1.38
   78    2.544421e-01        1.31
   79    2.544421e-01        1.32
   80    2.544421e-01        1.38
   81    2.544421e-01        1.35
   82    2.544421e-01        1.36
   83    2.544421e-01        1.39
   84    2.544421e-01        1.32
   85    2.544421e-01        1.37
   86    2.544421e-01        1.55
   87    2.544421e-01        1.44
   88    2.544421e-01        1.35
   89    2.544421e-01        1.43
   90    2.544421e-01        1.36
   91    2.544421e-01        1.36
   92    2.544421e-01        1.35
   93    2.544421e-01        1.41
   94    2.544421e-01        1.55
   95    2.544421e-01        1.45
   96    2.544421e-01        1.38
   97    2.544421e-01        1.46
   98    2.544421e-01        1.37
   99    2.544421e-01        1.49
  100    2.544421e-01        1.47
