════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:11:54
════════════════════════════════════════════════════════════

Función objetivo : y*cos(x)
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_mul(y, np_cos(x))
Nodos       : 4
Profundidad : 2
Fitness     : 4.000000e-03
Expresión   : y*cos(x)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 0.000000e+00
  RMSE  : 0.000000e+00
  MAE   : 0.000000e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    3.970009e+00        5.20
    1    3.912205e+00        4.68
    2    3.912205e+00        5.39
    3    3.768113e+00        7.45
    4    3.708384e+00       11.61
    5    3.701841e+00       15.20
    6    3.506435e+00       14.83
    7    3.179300e+00       15.47
    8    3.179300e+00       15.57
    9    3.069712e+00       16.44
   10    3.069712e+00       15.86
   11    3.069712e+00       15.77
   12    2.442827e+00       14.05
   13    5.227438e-01       12.75
   14    2.455954e-01       11.26
   15    4.000000e-03       10.55
   16    4.000000e-03       10.26
   17    4.000000e-03        9.99
   18    4.000000e-03        9.66
   19    4.000000e-03        9.12
   20    4.000000e-03        8.48
   21    4.000000e-03        7.03
   22    4.000000e-03        5.61
   23    4.000000e-03        4.87
   24    4.000000e-03        4.16
   25    4.000000e-03        4.05
   26    4.000000e-03        4.04
   27    4.000000e-03        4.13
   28    4.000000e-03        4.11
   29    4.000000e-03        4.20
   30    4.000000e-03        4.11
   31    4.000000e-03        4.11
   32    4.000000e-03        4.07
   33    4.000000e-03        4.09
   34    4.000000e-03        4.15
   35    4.000000e-03        4.13
   36    4.000000e-03        4.16
   37    4.000000e-03        4.07
   38    4.000000e-03        4.06
   39    4.000000e-03        4.06
   40    4.000000e-03        4.02
   41    4.000000e-03        4.08
   42    4.000000e-03        4.13
   43    4.000000e-03        4.03
   44    4.000000e-03        4.01
   45    4.000000e-03        4.14
   46    4.000000e-03        4.19
   47    4.000000e-03        4.13
   48    4.000000e-03        4.13
   49    4.000000e-03        4.21
   50    4.000000e-03        4.11
   51    4.000000e-03        4.07
   52    4.000000e-03        4.06
   53    4.000000e-03        4.00
   54    4.000000e-03        4.13
   55    4.000000e-03        4.08
   56    4.000000e-03        4.17
   57    4.000000e-03        4.13
   58    4.000000e-03        4.04
   59    4.000000e-03        4.04
   60    4.000000e-03        4.03
   61    4.000000e-03        4.11
   62    4.000000e-03        4.09
   63    4.000000e-03        4.19
   64    4.000000e-03        4.06
   65    4.000000e-03        4.07
   66    4.000000e-03        4.02
   67    4.000000e-03        4.02
   68    4.000000e-03        4.17
   69    4.000000e-03        4.20
   70    4.000000e-03        4.04
   71    4.000000e-03        4.06
   72    4.000000e-03        4.02
   73    4.000000e-03        4.04
   74    4.000000e-03        4.01
   75    4.000000e-03        4.08
   76    4.000000e-03        4.14
   77    4.000000e-03        4.09
   78    4.000000e-03        4.14
   79    4.000000e-03        4.17
   80    4.000000e-03        4.06
   81    4.000000e-03        4.13
   82    4.000000e-03        4.11
   83    4.000000e-03        4.03
   84    4.000000e-03        4.11
   85    4.000000e-03        4.01
   86    4.000000e-03        4.04
   87    4.000000e-03        4.05
   88    4.000000e-03        4.15
   89    4.000000e-03        4.10
   90    4.000000e-03        4.13
   91    4.000000e-03        4.08
   92    4.000000e-03        4.05
   93    4.000000e-03        4.04
   94    4.000000e-03        4.06
   95    4.000000e-03        4.15
   96    4.000000e-03        4.05
   97    4.000000e-03        4.17
   98    4.000000e-03        4.09
   99    4.000000e-03        4.07
  100    4.000000e-03        4.08
