════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:20:16
════════════════════════════════════════════════════════════

Función objetivo : x**2
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_mul(x, x)
Nodos       : 3
Profundidad : 1
Fitness     : 3.000000e-03
Expresión   : x**2

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 0.000000e+00
  RMSE  : 0.000000e+00
  MAE   : 0.000000e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    3.000000e-03        5.60
    1    3.000000e-03        5.13
    2    3.000000e-03        5.71
    3    3.000000e-03        5.71
    4    3.000000e-03        4.46
    5    3.000000e-03        3.07
    6    3.000000e-03        3.15
    7    3.000000e-03        3.20
    8    3.000000e-03        3.09
    9    3.000000e-03        3.19
   10    3.000000e-03        3.23
   11    3.000000e-03        3.18
   12    3.000000e-03        3.06
   13    3.000000e-03        3.17
   14    3.000000e-03        3.20
   15    3.000000e-03        3.10
   16    3.000000e-03        3.10
   17    3.000000e-03        3.20
   18    3.000000e-03        3.17
   19    3.000000e-03        3.15
   20    3.000000e-03        3.16
   21    3.000000e-03        3.26
   22    3.000000e-03        3.08
   23    3.000000e-03        3.16
   24    3.000000e-03        3.13
   25    3.000000e-03        3.09
   26    3.000000e-03        3.26
   27    3.000000e-03        3.18
   28    3.000000e-03        3.11
   29    3.000000e-03        3.08
   30    3.000000e-03        3.19
   31    3.000000e-03        3.08
   32    3.000000e-03        3.05
   33    3.000000e-03        3.11
   34    3.000000e-03        3.31
   35    3.000000e-03        3.18
   36    3.000000e-03        3.13
   37    3.000000e-03        3.17
   38    3.000000e-03        3.06
   39    3.000000e-03        3.14
   40    3.000000e-03        3.13
   41    3.000000e-03        3.15
   42    3.000000e-03        3.09
   43    3.000000e-03        3.14
   44    3.000000e-03        3.15
   45    3.000000e-03        3.22
   46    3.000000e-03        3.14
   47    3.000000e-03        3.09
   48    3.000000e-03        3.15
   49    3.000000e-03        3.06
   50    3.000000e-03        3.14
   51    3.000000e-03        3.11
   52    3.000000e-03        3.18
   53    3.000000e-03        3.14
   54    3.000000e-03        3.18
   55    3.000000e-03        3.15
   56    3.000000e-03        3.08
   57    3.000000e-03        3.20
   58    3.000000e-03        3.11
   59    3.000000e-03        3.20
   60    3.000000e-03        3.09
   61    3.000000e-03        3.20
   62    3.000000e-03        3.25
   63    3.000000e-03        3.16
   64    3.000000e-03        3.07
   65    3.000000e-03        3.21
   66    3.000000e-03        3.35
   67    3.000000e-03        3.07
   68    3.000000e-03        3.20
   69    3.000000e-03        3.18
   70    3.000000e-03        3.29
   71    3.000000e-03        3.22
   72    3.000000e-03        3.17
   73    3.000000e-03        3.16
   74    3.000000e-03        3.14
   75    3.000000e-03        3.10
   76    3.000000e-03        3.15
   77    3.000000e-03        3.15
   78    3.000000e-03        3.25
   79    3.000000e-03        3.17
   80    3.000000e-03        3.13
   81    3.000000e-03        3.12
   82    3.000000e-03        3.14
   83    3.000000e-03        3.15
   84    3.000000e-03        3.11
   85    3.000000e-03        3.12
   86    3.000000e-03        3.07
   87    3.000000e-03        3.36
   88    3.000000e-03        3.21
   89    3.000000e-03        3.06
   90    3.000000e-03        3.10
   91    3.000000e-03        3.18
   92    3.000000e-03        3.15
   93    3.000000e-03        3.14
   94    3.000000e-03        3.13
   95    3.000000e-03        3.16
   96    3.000000e-03        3.07
   97    3.000000e-03        3.19
   98    3.000000e-03        3.18
   99    3.000000e-03        3.15
  100    3.000000e-03        3.22
