════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:21:12
════════════════════════════════════════════════════════════

Función objetivo : x**2 + y**2*x**2 + 1
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : protectedAbs(np_add(np_mul(y, np_mul(x, np_mul(x, y))), np_add(np_mul(x, x), 1)))
Nodos       : 14
Profundidad : 5
Fitness     : 1.400000e-02
Expresión   : Abs(x**2*y**2 + x**2 + 1.0)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 2.462478e-28
  RMSE  : 1.569229e-14
  MAE   : 5.214576e-15
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.472630e+04        5.60
    1    1.461564e+04        5.35
    2    1.128622e+04        5.69
    3    1.128622e+04        5.35
    4    7.654371e+03        6.27
    5    5.163048e+03        6.75
    6    2.751861e+02        7.35
    7    2.751861e+02        9.39
    8    2.751861e+02       11.13
    9    2.751851e+02       13.65
   10    2.751851e+02       14.63
   11    1.480430e+02       14.78
   12    1.480430e+02       14.61
   13    4.318661e+01       14.27
   14    4.318661e+01       14.74
   15    4.318661e+01       13.48
   16    4.318661e+01       13.53
   17    1.625792e+01       12.87
   18    9.433180e+00       11.97
   19    1.015000e+00       11.94
   20    1.015000e+00       11.93
   21    1.015000e+00       12.28
   22    5.490987e-01       13.54
   23    5.490987e-01       13.12
   24    5.490987e-01       13.58
   25    5.490987e-01       13.14
   26    5.480987e-01       13.94
   27    5.480987e-01       14.08
   28    5.480987e-01       14.03
   29    1.244587e-01       13.41
   30    1.244587e-01       13.89
   31    1.224587e-01       14.01
   32    1.224587e-01       14.57
   33    1.224587e-01       14.86
   34    1.224587e-01       14.88
   35    1.224587e-01       14.45
   36    1.224587e-01       15.38
   37    1.224587e-01       14.95
   38    1.224587e-01       15.16
   39    1.214587e-01       15.24
   40    4.788948e-02       14.93
   41    4.788948e-02       15.18
   42    4.788948e-02       15.06
   43    4.788948e-02       14.56
   44    4.788948e-02       14.68
   45    4.788948e-02       14.19
   46    4.788948e-02       14.37
   47    4.788948e-02       14.23
   48    4.788948e-02       14.22
   49    4.788948e-02       14.50
   50    4.788948e-02       14.72
   51    4.788948e-02       14.38
   52    4.788948e-02       14.23
   53    3.866863e-02       14.20
   54    3.866863e-02       14.64
   55    3.866863e-02       14.65
   56    3.866863e-02       14.93
   57    3.866863e-02       14.50
   58    3.866863e-02       14.60
   59    1.500000e-02       14.50
   60    1.500000e-02       14.02
   61    1.500000e-02       14.05
   62    1.500000e-02       13.88
   63    1.500000e-02       14.41
   64    1.500000e-02       14.39
   65    1.500000e-02       14.70
   66    1.500000e-02       15.07
   67    1.500000e-02       14.98
   68    1.500000e-02       14.32
   69    1.500000e-02       14.82
   70    1.500000e-02       14.45
   71    1.500000e-02       14.14
   72    1.500000e-02       14.19
   73    1.500000e-02       14.09
   74    1.400000e-02       13.84
   75    1.400000e-02       13.64
   76    1.400000e-02       13.08
   77    1.400000e-02       13.37
   78    1.400000e-02       13.24
   79    1.400000e-02       13.53
   80    1.400000e-02       13.42
   81    1.400000e-02       13.32
   82    1.400000e-02       13.13
   83    1.400000e-02       13.44
   84    1.400000e-02       13.36
   85    1.400000e-02       13.09
   86    1.400000e-02       13.14
   87    1.400000e-02       13.01
   88    1.400000e-02       13.00
   89    1.400000e-02       12.64
   90    1.400000e-02       12.34
   91    1.400000e-02       12.65
   92    1.400000e-02       12.63
   93    1.400000e-02       12.06
   94    1.400000e-02       12.10
   95    1.400000e-02       12.21
   96    1.400000e-02       11.78
   97    1.400000e-02       12.25
   98    1.400000e-02       12.54
   99    1.400000e-02       11.86
  100    1.400000e-02       12.22
