════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:31:02
════════════════════════════════════════════════════════════

Función objetivo : cos(x)/(1+Abs(x+y))
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : protectedLog(protectedSqrt(protectedSqrt(protectedExp(np_cos(x)))))
Nodos       : 6
Profundidad : 5
Fitness     : 3.031471e-02
Expresión   : log(exp(cos(re(x))*cosh(im(x))/4) + 1.0e-10)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 2.431471e-02
  RMSE  : 1.559317e-01
  MAE   : 9.608890e-02
  R²    : 6.540142e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    7.446558e-02        5.48
    1    7.425017e-02        5.16
    2    7.425017e-02        4.41
    3    7.425017e-02        3.18
    4    7.343504e-02        2.95
    5    7.343504e-02        2.77
    6    7.343504e-02        1.63
    7    7.343504e-02        1.94
    8    7.343504e-02        2.59
    9    7.343504e-02        2.92
   10    7.343504e-02        3.07
   11    7.343504e-02        3.14
   12    7.343504e-02        2.96
   13    7.343504e-02        3.12
   14    3.900477e-02        3.07
   15    3.900477e-02        3.20
   16    3.900477e-02        3.21
   17    3.900477e-02        3.05
   18    3.900477e-02        3.03
   19    3.900477e-02        3.02
   20    3.900477e-02        3.20
   21    3.900477e-02        3.32
   22    3.900477e-02        3.36
   23    3.900477e-02        3.75
   24    3.031471e-02        4.06
   25    3.031471e-02        4.52
   26    3.031471e-02        4.89
   27    3.031471e-02        4.98
   28    3.031471e-02        5.31
   29    3.031471e-02        5.38
   30    3.031471e-02        5.52
   31    3.031471e-02        5.65
   32    3.031471e-02        5.48
   33    3.031471e-02        5.55
   34    3.031471e-02        5.50
   35    3.031471e-02        5.59
   36    3.031471e-02        5.53
   37    3.031471e-02        5.63
   38    3.031471e-02        5.53
   39    3.031471e-02        5.53
   40    3.031471e-02        5.57
   41    3.031471e-02        5.49
   42    3.031471e-02        5.59
   43    3.031471e-02        5.61
   44    3.031471e-02        5.63
   45    3.031471e-02        5.66
   46    3.031471e-02        5.42
   47    3.031471e-02        5.58
   48    3.031471e-02        5.65
   49    3.031471e-02        5.64
   50    3.031471e-02        5.60
   51    3.031471e-02        5.54
   52    3.031471e-02        5.45
   53    3.031471e-02        5.58
   54    3.031471e-02        5.41
   55    3.031471e-02        5.56
   56    3.031471e-02        5.47
   57    3.031471e-02        5.51
   58    3.031471e-02        5.58
   59    3.031471e-02        5.55
   60    3.031471e-02        5.52
   61    3.031471e-02        5.54
   62    3.031471e-02        5.61
   63    3.031471e-02        5.63
   64    3.031471e-02        5.49
   65    3.031471e-02        5.55
   66    3.031471e-02        5.52
   67    3.031471e-02        5.65
   68    3.031471e-02        5.69
   69    3.031471e-02        5.62
   70    3.031471e-02        5.67
   71    3.031471e-02        5.51
   72    3.031471e-02        5.51
   73    3.031471e-02        5.50
   74    3.031471e-02        5.49
   75    3.031471e-02        5.51
   76    3.031471e-02        5.60
   77    3.031471e-02        5.65
   78    3.031471e-02        5.52
   79    3.031471e-02        5.65
   80    3.031471e-02        5.55
   81    3.031471e-02        5.60
   82    3.031471e-02        5.52
   83    3.031471e-02        5.57
   84    3.031471e-02        5.63
   85    3.031471e-02        5.61
   86    3.031471e-02        5.54
   87    3.031471e-02        5.54
   88    3.031471e-02        5.43
   89    3.031471e-02        5.53
   90    3.031471e-02        5.66
   91    3.031471e-02        5.54
   92    3.031471e-02        5.75
   93    3.031471e-02        5.61
   94    3.031471e-02        5.63
   95    3.031471e-02        5.57
   96    3.031471e-02        5.55
   97    3.031471e-02        5.48
   98    3.031471e-02        5.63
   99    3.031471e-02        5.51
  100    3.031471e-02        5.51
