════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:33:27
════════════════════════════════════════════════════════════

Función objetivo : 1/Abs(x)+1
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : protectedSqrt(protectedDiv(np_add(3, protectedAbs(np_add(protectedDiv(-1, x), x))), x))
Nodos       : 11
Profundidad : 6
Fitness     : 2.179593e-02
Expresión   : sqrt(Abs(x - 1.0/x) + 3.0)*sqrt(Abs(1/x))

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 1.079593e-02
  RMSE  : 1.039035e-01
  MAE   : 7.330451e-02
  R²    : 9.955764e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.462644e+00        5.48
    1    1.462644e+00        4.89
    2    5.593471e-01        4.07
    3    5.313251e-01        4.23
    4    3.891307e-01        5.80
    5    1.773179e-01        7.99
    6    9.480508e-02        8.72
    7    9.380508e-02        8.90
    8    9.380508e-02        9.44
    9    9.380508e-02        9.46
   10    9.233286e-02       10.14
   11    9.233286e-02        9.90
   12    9.233286e-02        9.55
   13    9.233286e-02        9.88
   14    9.233286e-02       10.16
   15    9.233286e-02        9.67
   16    9.133286e-02        8.78
   17    9.133286e-02        8.72
   18    9.133286e-02        8.99
   19    9.133286e-02        8.74
   20    8.933286e-02        8.91
   21    8.933286e-02        9.26
   22    8.933286e-02        9.13
   23    8.933286e-02        9.30
   24    8.933286e-02        8.95
   25    8.933286e-02        8.79
   26    8.933286e-02        8.73
   27    8.737335e-02        8.62
   28    8.737335e-02        8.45
   29    8.737335e-02        8.75
   30    8.737335e-02        8.51
   31    8.737335e-02        8.51
   32    8.737335e-02        8.79
   33    8.737335e-02        8.64
   34    8.737335e-02        8.68
   35    8.737335e-02        8.68
   36    8.737335e-02        8.96
   37    8.737335e-02        9.23
   38    8.737335e-02        9.20
   39    8.737335e-02        8.37
   40    8.187383e-02        8.53
   41    8.187383e-02        8.46
   42    8.187383e-02        8.13
   43    8.087383e-02        8.13
   44    8.087383e-02        8.43
   45    8.087383e-02        8.61
   46    8.087383e-02        8.69
   47    8.087383e-02        8.37
   48    8.087383e-02        8.23
   49    8.087383e-02        8.30
   50    8.087383e-02        8.61
   51    8.087383e-02        8.56
   52    8.087383e-02        8.38
   53    4.791356e-02        8.36
   54    4.115721e-02        8.16
   55    4.115721e-02        8.59
   56    4.115721e-02        8.54
   57    2.179593e-02        8.75
   58    2.179593e-02        8.76
   59    2.179593e-02        9.32
   60    2.179593e-02        9.67
   61    2.179593e-02        9.48
   62    2.179593e-02        9.34
   63    2.179593e-02        9.49
   64    2.179593e-02        9.34
   65    2.179593e-02        9.70
   66    2.179593e-02        9.31
   67    2.179593e-02        9.42
   68    2.179593e-02        9.05
   69    2.179593e-02        9.44
   70    2.179593e-02        9.15
   71    2.179593e-02        8.72
   72    2.179593e-02        8.92
   73    2.179593e-02        8.66
   74    2.179593e-02        8.54
   75    2.179593e-02        8.93
   76    2.179593e-02        8.91
   77    2.179593e-02        8.80
   78    2.179593e-02        8.96
   79    2.179593e-02        9.01
   80    2.179593e-02        8.62
   81    2.179593e-02        8.38
   82    2.179593e-02        8.69
   83    2.179593e-02        8.78
   84    2.179593e-02        8.68
   85    2.179593e-02        8.58
   86    2.179593e-02        8.86
   87    2.179593e-02        8.46
   88    2.179593e-02        8.45
   89    2.179593e-02        8.82
   90    2.179593e-02        8.74
   91    2.179593e-02        9.05
   92    2.179593e-02        8.72
   93    2.179593e-02        8.31
   94    2.179593e-02        8.51
   95    2.179593e-02        8.70
   96    2.179593e-02        8.78
   97    2.179593e-02        8.73
   98    2.179593e-02        8.29
   99    2.179593e-02        8.95
  100    2.179593e-02        8.76
