════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:37:21
════════════════════════════════════════════════════════════

Función objetivo : cos(x)*sin(y)
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_sin(np_sin(np_sin(np_sin(np_sin(np_sub(y, x))))))
Nodos       : 8
Profundidad : 6
Fitness     : 1.547894e-01
Expresión   : -sin(sin(sin(sin(sin(x - y)))))

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 1.467894e-01
  RMSE  : 3.831311e-01
  MAE   : 3.315770e-01
  R²    : 4.105771e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    2.510393e-01        5.48
    1    2.510393e-01        5.24
    2    2.510393e-01        4.43
    3    2.510393e-01        2.83
    4    2.510393e-01        2.20
    5    2.510393e-01        2.14
    6    2.510393e-01        2.13
    7    2.510393e-01        2.20
    8    2.022677e-01        2.20
    9    2.022677e-01        2.23
   10    2.022677e-01        2.32
   11    1.773564e-01        2.79
   12    1.773564e-01        3.47
   13    1.632706e-01        4.36
   14    1.547894e-01        5.17
   15    1.547894e-01        5.85
   16    1.547894e-01        6.24
   17    1.547894e-01        6.64
   18    1.547894e-01        6.71
   19    1.547894e-01        6.80
   20    1.547894e-01        6.60
   21    1.547894e-01        7.02
   22    1.547894e-01        6.84
   23    1.547894e-01        6.65
   24    1.547894e-01        6.87
   25    1.547894e-01        6.79
   26    1.547894e-01        6.69
   27    1.547894e-01        6.73
   28    1.547894e-01        6.67
   29    1.547894e-01        6.89
   30    1.547894e-01        6.69
   31    1.547894e-01        6.65
   32    1.547894e-01        6.69
   33    1.547894e-01        6.77
   34    1.547894e-01        6.80
   35    1.547894e-01        6.71
   36    1.547894e-01        6.52
   37    1.547894e-01        6.67
   38    1.547894e-01        6.67
   39    1.547894e-01        6.72
   40    1.547894e-01        6.80
   41    1.547894e-01        6.62
   42    1.547894e-01        6.78
   43    1.547894e-01        6.85
   44    1.547894e-01        6.86
   45    1.547894e-01        6.63
   46    1.547894e-01        6.84
   47    1.547894e-01        6.69
   48    1.547894e-01        6.89
   49    1.547894e-01        6.57
   50    1.547894e-01        6.74
   51    1.547894e-01        6.67
   52    1.547894e-01        6.77
   53    1.547894e-01        6.83
   54    1.547894e-01        6.78
   55    1.547894e-01        6.77
   56    1.547894e-01        6.75
   57    1.547894e-01        6.78
   58    1.547894e-01        6.73
   59    1.547894e-01        6.66
   60    1.547894e-01        6.58
   61    1.547894e-01        6.78
   62    1.547894e-01        6.64
   63    1.547894e-01        6.58
   64    1.547894e-01        6.71
   65    1.547894e-01        6.73
   66    1.547894e-01        6.65
   67    1.547894e-01        6.74
   68    1.547894e-01        6.68
   69    1.547894e-01        6.80
   70    1.547894e-01        6.89
   71    1.547894e-01        6.81
   72    1.547894e-01        6.85
   73    1.547894e-01        6.79
   74    1.547894e-01        6.83
   75    1.547894e-01        6.62
   76    1.547894e-01        6.63
   77    1.547894e-01        6.78
   78    1.547894e-01        6.66
   79    1.547894e-01        6.63
   80    1.547894e-01        6.70
   81    1.547894e-01        6.66
   82    1.547894e-01        6.58
   83    1.547894e-01        6.75
   84    1.547894e-01        6.79
   85    1.547894e-01        6.66
   86    1.547894e-01        6.62
   87    1.547894e-01        6.73
   88    1.547894e-01        6.80
   89    1.547894e-01        6.76
   90    1.547894e-01        6.66
   91    1.547894e-01        6.57
   92    1.547894e-01        6.65
   93    1.547894e-01        6.67
   94    1.547894e-01        6.70
   95    1.547894e-01        6.75
   96    1.547894e-01        6.87
   97    1.547894e-01        6.90
   98    1.547894e-01        6.72
   99    1.547894e-01        6.71
  100    1.547894e-01        6.88
