════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:41:40
════════════════════════════════════════════════════════════

Función objetivo : cos(x*y)*sin(y)
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : 0
Nodos       : 1
Profundidad : 0
Fitness     : 2.663478e-01
Expresión   : 0.0

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 2.653478e-01
  RMSE  : 5.151192e-01
  MAE   : 4.207187e-01
  R²    : 0.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    2.673478e-01        5.48
    1    2.673478e-01        5.28
    2    2.673478e-01        4.37
    3    2.673478e-01        2.47
    4    2.673478e-01        2.17
    5    2.673478e-01        2.11
    6    2.673478e-01        2.14
    7    2.673478e-01        2.17
    8    2.673478e-01        2.17
    9    2.673478e-01        2.10
   10    2.673478e-01        2.17
   11    2.673478e-01        2.20
   12    2.673478e-01        2.19
   13    2.673478e-01        2.16
   14    2.673478e-01        2.17
   15    2.673478e-01        2.29
   16    2.673478e-01        2.28
   17    2.673478e-01        2.15
   18    2.673478e-01        2.19
   19    2.673478e-01        2.13
   20    2.673478e-01        2.09
   21    2.673478e-01        2.25
   22    2.673478e-01        2.13
   23    2.673478e-01        2.14
   24    2.673478e-01        2.08
   25    2.673478e-01        2.18
   26    2.673478e-01        2.10
   27    2.673478e-01        2.21
   28    2.673478e-01        2.28
   29    2.673478e-01        2.18
   30    2.673478e-01        2.18
   31    2.673478e-01        2.27
   32    2.673478e-01        2.14
   33    2.673478e-01        2.23
   34    2.673478e-01        2.10
   35    2.673478e-01        2.19
   36    2.673478e-01        2.11
   37    2.673478e-01        2.21
   38    2.673478e-01        2.07
   39    2.663478e-01        2.24
   40    2.663478e-01        2.09
   41    2.663478e-01        2.00
   42    2.663478e-01        1.81
   43    2.663478e-01        1.32
   44    2.663478e-01        1.28
   45    2.663478e-01        1.25
   46    2.663478e-01        1.20
   47    2.663478e-01        1.14
   48    2.663478e-01        1.16
   49    2.663478e-01        1.24
   50    2.663478e-01        1.10
   51    2.663478e-01        1.15
   52    2.663478e-01        1.13
   53    2.663478e-01        1.20
   54    2.663478e-01        1.19
   55    2.663478e-01        1.24
   56    2.663478e-01        1.30
   57    2.663478e-01        1.18
   58    2.663478e-01        1.18
   59    2.663478e-01        1.23
   60    2.663478e-01        1.23
   61    2.663478e-01        1.22
   62    2.663478e-01        1.26
   63    2.663478e-01        1.20
   64    2.663478e-01        1.16
   65    2.663478e-01        1.20
   66    2.663478e-01        1.22
   67    2.663478e-01        1.12
   68    2.663478e-01        1.23
   69    2.663478e-01        1.09
   70    2.663478e-01        1.26
   71    2.663478e-01        1.21
   72    2.663478e-01        1.29
   73    2.663478e-01        1.12
   74    2.663478e-01        1.24
   75    2.663478e-01        1.17
   76    2.663478e-01        1.25
   77    2.663478e-01        1.17
   78    2.663478e-01        1.20
   79    2.663478e-01        1.33
   80    2.663478e-01        1.14
   81    2.663478e-01        1.24
   82    2.663478e-01        1.28
   83    2.663478e-01        1.22
   84    2.663478e-01        1.22
   85    2.663478e-01        1.41
   86    2.663478e-01        1.20
   87    2.663478e-01        1.22
   88    2.663478e-01        1.23
   89    2.663478e-01        1.21
   90    2.663478e-01        1.20
   91    2.663478e-01        1.23
   92    2.663478e-01        1.29
   93    2.663478e-01        1.19
   94    2.663478e-01        1.19
   95    2.663478e-01        1.20
   96    2.663478e-01        1.32
   97    2.663478e-01        1.19
   98    2.663478e-01        1.23
   99    2.663478e-01        1.22
  100    2.663478e-01        1.18
