════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:47:06
════════════════════════════════════════════════════════════

Función objetivo : 5*x**3*y**2 + 0.5*x
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_add(x, np_mul(x, np_mul(y, np_mul(x, np_mul(y, np_mul(x, 5))))))
Nodos       : 13
Profundidad : 6
Fitness     : 8.429667e+00
Expresión   : 5.0*x**3*y**2 + x

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 8.416667e+00
  RMSE  : 2.901149e+00
  MAE   : 2.512438e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    6.353716e+09        5.15
    1    5.958400e+09        5.68
    2    5.958400e+09        5.03
    3    4.804258e+09        5.82
    4    4.804258e+09        8.21
    5    3.809172e+09       12.47
    6    2.702447e+09       14.59
    7    2.537550e+09       13.89
    8    2.537550e+09       15.31
    9    2.260442e+09       17.05
   10    9.644756e+08       17.82
   11    3.003863e+08       17.59
   12    2.920609e+08       17.45
   13    2.542223e+08       17.98
   14    2.541020e+08       18.33
   15    8.439667e+00       18.37
   16    8.439667e+00       19.19
   17    8.439667e+00       18.72
   18    8.439667e+00       19.22
   19    8.439667e+00       20.81
   20    8.439667e+00       20.04
   21    8.439667e+00       20.45
   22    8.439667e+00       20.65
   23    8.439667e+00       21.57
   24    8.439667e+00       21.47
   25    8.439667e+00       21.34
   26    8.439667e+00       21.58
   27    8.439667e+00       20.86
   28    8.439667e+00       21.08
   29    8.439667e+00       20.54
   30    8.439667e+00       19.96
   31    8.439667e+00       19.84
   32    8.439667e+00       19.85
   33    8.439667e+00       20.20
   34    8.439667e+00       20.53
   35    8.439667e+00       20.42
   36    8.439667e+00       21.01
   37    8.439667e+00       21.06
   38    8.439667e+00       21.16
   39    8.439667e+00       21.16
   40    8.439667e+00       20.39
   41    8.439667e+00       20.18
   42    8.439667e+00       20.06
   43    8.439667e+00       19.28
   44    8.439667e+00       19.18
   45    8.439667e+00       19.68
   46    8.439667e+00       20.50
   47    8.439667e+00       20.12
   48    8.439667e+00       19.66
   49    8.439667e+00       20.05
   50    8.439667e+00       19.96
   51    8.439667e+00       20.80
   52    8.439667e+00       20.89
   53    8.439667e+00       20.51
   54    8.439667e+00       20.34
   55    8.439667e+00       19.67
   56    8.439667e+00       20.22
   57    8.439667e+00       20.56
   58    8.439667e+00       19.74
   59    8.439667e+00       20.07
   60    8.439667e+00       20.23
   61    8.439667e+00       20.09
   62    8.439667e+00       20.15
   63    8.439667e+00       20.44
   64    8.439667e+00       21.58
   65    8.439667e+00       21.08
   66    8.439667e+00       21.53
   67    8.439667e+00       21.19
   68    8.439667e+00       20.84
   69    8.439667e+00       21.34
   70    8.439667e+00       20.81
   71    8.439667e+00       21.60
   72    8.439667e+00       21.65
   73    8.439667e+00       21.50
   74    8.439667e+00       22.16
   75    8.439667e+00       21.66
   76    8.439667e+00       21.52
   77    8.439667e+00       21.54
   78    8.439667e+00       20.99
   79    8.439667e+00       21.28
   80    8.439667e+00       21.41
   81    8.439667e+00       21.82
   82    8.439667e+00       21.80
   83    8.439667e+00       22.30
   84    8.439667e+00       21.94
   85    8.439667e+00       21.72
   86    8.439667e+00       21.01
   87    8.439667e+00       21.53
   88    8.439667e+00       21.18
   89    8.439667e+00       20.94
   90    8.429667e+00       20.83
   91    8.429667e+00       20.97
   92    8.429667e+00       20.99
   93    8.429667e+00       20.82
   94    8.429667e+00       19.11
   95    8.429667e+00       17.71
   96    8.429667e+00       16.89
   97    8.429667e+00       17.23
   98    8.429667e+00       15.89
   99    8.429667e+00       15.62
  100    8.429667e+00       14.11
