════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:48:25
════════════════════════════════════════════════════════════

Función objetivo : y*cos(x) + x*sin(y) + x**2 - y**2
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : protectedExp(np_mul(protectedSqrt(x), protectedLog(np_mul(np_mul(protectedSqrt(x), protectedLog(-3)), protectedLog(protectedSqrt(x))))))
Nodos       : 14
Profundidad : 6
Fitness     : 1.330492e+03
Expresión   : exp(log(1.09861228870144*sqrt(Abs(x))*Abs(log(sqrt(Abs(x)) + 1.0e-10)) + 1.0e-10)*sqrt(Abs(x)))

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 1.330478e+03
  RMSE  : 3.647572e+01
  MAE   : 2.805165e+01
  R²    : 2.796714e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.615130e+03        5.15
    1    1.615130e+03        4.77
    2    1.615130e+03        3.79
    3    1.615130e+03        2.65
    4    1.615130e+03        2.51
    5    1.615130e+03        2.94
    6    1.615130e+03        3.14
    7    1.615130e+03        3.09
    8    1.615130e+03        3.02
    9    1.615130e+03        3.05
   10    1.615130e+03        3.04
   11    1.615130e+03        3.13
   12    1.615130e+03        3.19
   13    1.615130e+03        3.06
   14    1.615130e+03        3.07
   15    1.615130e+03        3.05
   16    1.615130e+03        3.03
   17    1.615130e+03        3.07
   18    1.615130e+03        3.01
   19    1.615130e+03        3.08
   20    1.615130e+03        3.13
   21    1.615130e+03        3.13
   22    1.615130e+03        3.13
   23    1.615130e+03        3.11
   24    1.615130e+03        3.04
   25    1.615130e+03        3.13
   26    1.615130e+03        3.07
   27    1.615130e+03        3.01
   28    1.615130e+03        3.09
   29    1.615130e+03        3.08
   30    1.615130e+03        3.01
   31    1.615130e+03        3.09
   32    1.615130e+03        3.13
   33    1.615130e+03        3.10
   34    1.615130e+03        3.13
   35    1.615130e+03        3.10
   36    1.615130e+03        3.10
   37    1.615130e+03        3.15
   38    1.615130e+03        3.08
   39    1.615130e+03        3.18
   40    1.615130e+03        3.03
   41    1.615130e+03        3.14
   42    1.615130e+03        2.97
   43    1.615130e+03        3.08
   44    1.615130e+03        3.08
   45    1.615130e+03        3.01
   46    1.615130e+03        3.09
   47    1.615130e+03        3.11
   48    1.615130e+03        3.03
   49    1.615130e+03        3.09
   50    1.615130e+03        3.07
   51    1.615130e+03        3.09
   52    1.615130e+03        2.96
   53    1.615130e+03        3.10
   54    1.615130e+03        3.07
   55    1.615130e+03        3.08
   56    1.615130e+03        3.13
   57    1.615130e+03        3.06
   58    1.615130e+03        3.15
   59    1.615130e+03        3.06
   60    1.615130e+03        3.08
   61    1.615130e+03        2.98
   62    1.615130e+03        3.09
   63    1.615130e+03        3.06
   64    1.615130e+03        3.09
   65    1.615130e+03        3.09
   66    1.615130e+03        3.05
   67    1.615130e+03        3.06
   68    1.615130e+03        3.02
   69    1.615130e+03        3.11
   70    1.615130e+03        3.07
   71    1.615130e+03        3.19
   72    1.615130e+03        3.10
   73    1.615130e+03        3.16
   74    1.615130e+03        3.16
   75    1.615130e+03        3.13
   76    1.615130e+03        3.00
   77    1.575320e+03        3.13
   78    1.450851e+03        3.17
   79    1.400796e+03        3.43
   80    1.387563e+03        4.11
   81    1.343133e+03        5.31
   82    1.330492e+03        6.86
   83    1.330492e+03        8.43
   84    1.330492e+03        9.22
   85    1.330492e+03        9.12
   86    1.330492e+03        9.58
   87    1.330492e+03        9.62
   88    1.330492e+03        9.42
   89    1.330492e+03        9.53
   90    1.330492e+03        9.81
   91    1.330492e+03       10.65
   92    1.330492e+03       10.24
   93    1.330492e+03       10.12
   94    1.330492e+03       10.89
   95    1.330492e+03       10.68
   96    1.330492e+03       10.81
   97    1.330492e+03       10.53
   98    1.330492e+03       10.37
   99    1.330492e+03       10.26
  100    1.330492e+03       10.49
