════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:57:41
════════════════════════════════════════════════════════════

Función objetivo : cos(((x + y) + (3 + 1)))
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_sin(np_add(np_add(x, -7), y))
Nodos       : 6
Profundidad : 3
Fitness     : 6.009797e-03
Expresión   : sin(x + y - 7.0)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 9.796541e-06
  RMSE  : 3.129943e-03
  MAE   : 2.818161e-03
  R²    : 9.999804e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    5.028372e-01        5.47
    1    5.018421e-01        4.77
    2    2.476093e-01        5.30
    3    2.476093e-01        4.71
    4    2.476093e-01        3.09
    5    2.476093e-01        2.40
    6    2.476093e-01        2.64
    7    2.476093e-01        3.37
    8    2.476093e-01        3.93
    9    2.476093e-01        3.91
   10    2.476093e-01        3.99
   11    2.476093e-01        4.11
   12    4.706276e-02        3.99
   13    4.706276e-02        4.10
   14    4.706276e-02        4.07
   15    4.706276e-02        4.42
   16    4.706276e-02        4.33
   17    4.706276e-02        4.74
   18    4.706276e-02        5.25
   19    4.706276e-02        5.39
   20    4.706276e-02        5.61
   21    4.706276e-02        5.80
   22    4.706276e-02        5.92
   23    4.706276e-02        5.69
   24    8.009797e-03        5.81
   25    8.009797e-03        5.89
   26    8.009797e-03        5.92
   27    8.009797e-03        6.04
   28    8.009797e-03        6.39
   29    8.009797e-03        6.46
   30    8.009797e-03        6.67
   31    8.009797e-03        7.16
   32    8.009797e-03        7.19
   33    8.009797e-03        7.24
   34    8.009797e-03        7.32
   35    8.009797e-03        7.15
   36    8.009797e-03        7.41
   37    8.009797e-03        7.35
   38    8.009797e-03        7.63
   39    8.009797e-03        7.34
   40    8.009797e-03        7.47
   41    8.009797e-03        7.23
   42    8.009797e-03        7.45
   43    8.009797e-03        7.62
   44    8.009797e-03        7.56
   45    8.009797e-03        7.44
   46    8.009797e-03        7.17
   47    8.009797e-03        7.20
   48    8.009797e-03        7.37
   49    8.009797e-03        7.32
   50    8.009797e-03        7.49
   51    8.009797e-03        7.27
   52    8.009797e-03        7.18
   53    8.009797e-03        6.92
   54    8.009797e-03        6.98
   55    8.009797e-03        7.42
   56    8.009797e-03        7.39
   57    8.009797e-03        7.54
   58    8.009797e-03        7.14
   59    8.009797e-03        7.21
   60    8.009797e-03        7.33
   61    8.009797e-03        7.51
   62    8.009797e-03        7.47
   63    8.009797e-03        7.42
   64    8.009797e-03        7.27
   65    8.009797e-03        7.34
   66    8.009797e-03        7.48
   67    8.009797e-03        7.38
   68    8.009797e-03        7.45
   69    8.009797e-03        7.30
   70    8.009797e-03        7.25
   71    8.009797e-03        7.33
   72    8.009797e-03        7.25
   73    8.009797e-03        7.27
   74    8.009797e-03        7.68
   75    8.009797e-03        7.63
   76    8.009797e-03        7.59
   77    8.009797e-03        7.43
   78    8.009797e-03        7.48
   79    8.009797e-03        7.52
   80    8.009797e-03        7.44
   81    8.009797e-03        7.53
   82    8.009797e-03        7.61
   83    8.009797e-03        7.54
   84    6.009797e-03        7.69
   85    6.009797e-03        7.27
   86    6.009797e-03        7.35
   87    6.009797e-03        7.15
   88    6.009797e-03        7.20
   89    6.009797e-03        7.13
   90    6.009797e-03        6.78
   91    6.009797e-03        6.50
   92    6.009797e-03        6.55
   93    6.009797e-03        6.24
   94    6.009797e-03        6.01
   95    6.009797e-03        6.05
   96    6.009797e-03        6.00
   97    6.009797e-03        5.99
   98    6.009797e-03        5.83
   99    6.009797e-03        5.85
  100    6.009797e-03        5.88
