════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 01:59:31
════════════════════════════════════════════════════════════

Función objetivo : sqrt(sqrt(Abs((x + y))))
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : protectedSqrt(protectedSqrt(np_add(y, x)))
Nodos       : 5
Profundidad : 3
Fitness     : 5.000000e-03
Expresión   : Abs(x + y)**(1/4)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 5.840648e-33
  RMSE  : 7.642413e-17
  MAE   : 2.551251e-17
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.905131e-01        5.47
    1    1.905131e-01        4.78
    2    1.163267e-01        4.90
    3    1.163267e-01        4.45
    4    1.163267e-01        4.02
    5    1.163267e-01        3.41
    6    5.456229e-02        3.42
    7    5.000000e-03        3.95
    8    5.000000e-03        4.82
    9    5.000000e-03        5.51
   10    5.000000e-03        6.00
   11    5.000000e-03        6.46
   12    5.000000e-03        6.44
   13    5.000000e-03        6.70
   14    5.000000e-03        6.74
   15    5.000000e-03        6.37
   16    5.000000e-03        6.03
   17    5.000000e-03        5.84
   18    5.000000e-03        5.56
   19    5.000000e-03        5.28
   20    5.000000e-03        5.18
   21    5.000000e-03        5.05
   22    5.000000e-03        5.16
   23    5.000000e-03        5.20
   24    5.000000e-03        5.10
   25    5.000000e-03        5.08
   26    5.000000e-03        5.07
   27    5.000000e-03        5.08
   28    5.000000e-03        5.11
   29    5.000000e-03        5.18
   30    5.000000e-03        5.03
   31    5.000000e-03        5.09
   32    5.000000e-03        5.07
   33    5.000000e-03        5.17
   34    5.000000e-03        5.06
   35    5.000000e-03        5.08
   36    5.000000e-03        5.17
   37    5.000000e-03        5.00
   38    5.000000e-03        4.92
   39    5.000000e-03        5.06
   40    5.000000e-03        5.16
   41    5.000000e-03        5.28
   42    5.000000e-03        5.24
   43    5.000000e-03        5.16
   44    5.000000e-03        5.18
   45    5.000000e-03        5.03
   46    5.000000e-03        5.10
   47    5.000000e-03        5.33
   48    5.000000e-03        5.17
   49    5.000000e-03        5.04
   50    5.000000e-03        5.10
   51    5.000000e-03        5.19
   52    5.000000e-03        4.98
   53    5.000000e-03        5.15
   54    5.000000e-03        5.01
   55    5.000000e-03        5.06
   56    5.000000e-03        5.11
   57    5.000000e-03        5.04
   58    5.000000e-03        5.18
   59    5.000000e-03        5.12
   60    5.000000e-03        4.95
   61    5.000000e-03        5.14
   62    5.000000e-03        5.26
   63    5.000000e-03        5.14
   64    5.000000e-03        5.33
   65    5.000000e-03        5.07
   66    5.000000e-03        5.21
   67    5.000000e-03        5.11
   68    5.000000e-03        5.16
   69    5.000000e-03        5.18
   70    5.000000e-03        5.04
   71    5.000000e-03        5.10
   72    5.000000e-03        5.16
   73    5.000000e-03        5.12
   74    5.000000e-03        5.26
   75    5.000000e-03        5.12
   76    5.000000e-03        5.17
   77    5.000000e-03        5.13
   78    5.000000e-03        5.08
   79    5.000000e-03        5.22
   80    5.000000e-03        5.21
   81    5.000000e-03        5.14
   82    5.000000e-03        5.12
   83    5.000000e-03        5.10
   84    5.000000e-03        5.04
   85    5.000000e-03        5.14
   86    5.000000e-03        5.12
   87    5.000000e-03        5.09
   88    5.000000e-03        5.10
   89    5.000000e-03        5.26
   90    5.000000e-03        5.10
   91    5.000000e-03        5.06
   92    5.000000e-03        5.08
   93    5.000000e-03        4.99
   94    5.000000e-03        5.04
   95    5.000000e-03        5.07
   96    5.000000e-03        5.04
   97    5.000000e-03        5.05
   98    5.000000e-03        5.02
   99    5.000000e-03        5.05
  100    5.000000e-03        4.93
