════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 02:02:31
════════════════════════════════════════════════════════════

Función objetivo : cos(x*y)
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_cos(np_mul(x, y))
Nodos       : 4
Profundidad : 2
Fitness     : 4.000000e-03
Expresión   : cos(x*y)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 0.000000e+00
  RMSE  : 0.000000e+00
  MAE   : 0.000000e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    5.068175e-01        5.47
    1    5.057149e-01        4.62
    2    5.057149e-01        4.50
    3    5.056471e-01        4.39
    4    5.056471e-01        2.80
    5    5.048778e-01        2.14
    6    5.048778e-01        2.23
    7    5.048778e-01        2.02
    8    5.048778e-01        1.82
    9    5.048778e-01        1.29
   10    5.048778e-01        1.19
   11    5.048778e-01        1.25
   12    5.048778e-01        1.16
   13    5.048778e-01        1.15
   14    5.048778e-01        1.10
   15    5.048778e-01        1.24
   16    5.048778e-01        1.22
   17    5.048778e-01        1.21
   18    5.048778e-01        1.18
   19    5.048778e-01        1.13
   20    5.048778e-01        1.22
   21    5.048778e-01        1.23
   22    5.048778e-01        1.14
   23    5.048778e-01        1.12
   24    5.048778e-01        1.19
   25    5.048778e-01        1.22
   26    5.048778e-01        1.13
   27    5.048778e-01        1.14
   28    5.048778e-01        1.24
   29    5.048778e-01        1.27
   30    5.048778e-01        1.20
   31    5.048778e-01        1.22
   32    5.048778e-01        1.23
   33    5.048778e-01        1.19
   34    5.048778e-01        1.13
   35    5.048778e-01        1.24
   36    5.048778e-01        1.24
   37    5.048778e-01        1.24
   38    5.048778e-01        1.13
   39    5.048778e-01        1.17
   40    5.048778e-01        1.21
   41    5.048778e-01        1.21
   42    5.048778e-01        1.20
   43    5.048778e-01        1.25
   44    5.029027e-01        1.23
   45    5.029027e-01        1.27
   46    5.029027e-01        1.14
   47    5.019027e-01        1.40
   48    5.019027e-01        1.90
   49    5.019027e-01        2.98
   50    5.019027e-01        3.34
   51    5.019027e-01        3.08
   52    5.019027e-01        3.18
   53    5.019027e-01        3.15
   54    5.019027e-01        3.14
   55    5.019027e-01        3.11
   56    5.019027e-01        3.20
   57    4.999523e-01        3.14
   58    4.999523e-01        3.10
   59    4.989523e-01        3.27
   60    4.989523e-01        3.38
   61    4.989523e-01        3.95
   62    4.989523e-01        4.68
   63    4.989523e-01        5.10
   64    4.989523e-01        5.09
   65    4.989523e-01        4.97
   66    4.989523e-01        5.06
   67    4.989523e-01        5.10
   68    4.989523e-01        5.00
   69    4.989523e-01        5.01
   70    4.989523e-01        5.12
   71    4.989523e-01        5.02
   72    4.989523e-01        5.01
   73    4.989523e-01        4.98
   74    4.989523e-01        5.07
   75    4.989523e-01        5.06
   76    4.989523e-01        5.03
   77    4.989523e-01        5.06
   78    4.989523e-01        4.95
   79    4.989523e-01        4.94
   80    4.989523e-01        4.97
   81    4.989523e-01        5.10
   82    4.989523e-01        5.02
   83    4.989523e-01        4.98
   84    4.000000e-03        5.00
   85    4.000000e-03        4.96
   86    4.000000e-03        4.89
   87    4.000000e-03        5.00
   88    4.000000e-03        4.82
   89    4.000000e-03        4.43
   90    4.000000e-03        4.26
   91    4.000000e-03        3.99
   92    4.000000e-03        3.96
   93    4.000000e-03        3.99
   94    4.000000e-03        4.06
   95    4.000000e-03        4.02
   96    4.000000e-03        3.93
   97    4.000000e-03        3.95
   98    4.000000e-03        4.01
   99    4.000000e-03        3.97
  100    4.000000e-03        3.99
