════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 02:04:33
════════════════════════════════════════════════════════════

Función objetivo : x-y+x*y
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_sub(np_mul(y, x), np_sub(y, x))
Nodos       : 7
Profundidad : 2
Fitness     : 7.000000e-03
Expresión   : x*y + x - y

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 8.025710e-30
  RMSE  : 2.832968e-15
  MAE   : 1.090182e-15
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    6.733633e+01        5.47
    1    6.733633e+01        4.79
    2    6.733633e+01        4.38
    3    3.367167e+01        3.90
    4    3.367167e+01        3.40
    5    3.367167e+01        3.26
    6    3.367167e+01        3.26
    7    3.367167e+01        3.31
    8    3.367167e+01        3.99
    9    3.367167e+01        4.69
   10    7.000000e-03        4.81
   11    7.000000e-03        4.95
   12    7.000000e-03        5.01
   13    7.000000e-03        4.90
   14    7.000000e-03        5.10
   15    7.000000e-03        5.26
   16    7.000000e-03        5.56
   17    7.000000e-03        5.76
   18    7.000000e-03        6.08
   19    7.000000e-03        6.46
   20    7.000000e-03        6.66
   21    7.000000e-03        6.74
   22    7.000000e-03        6.85
   23    7.000000e-03        6.66
   24    7.000000e-03        6.68
   25    7.000000e-03        6.72
   26    7.000000e-03        6.96
   27    7.000000e-03        6.85
   28    7.000000e-03        6.82
   29    7.000000e-03        6.81
   30    7.000000e-03        6.99
   31    7.000000e-03        6.84
   32    7.000000e-03        6.82
   33    7.000000e-03        6.87
   34    7.000000e-03        6.88
   35    7.000000e-03        6.76
   36    7.000000e-03        6.80
   37    7.000000e-03        6.84
   38    7.000000e-03        6.80
   39    7.000000e-03        6.92
   40    7.000000e-03        7.03
   41    7.000000e-03        6.87
   42    7.000000e-03        7.17
   43    7.000000e-03        7.05
   44    7.000000e-03        6.81
   45    7.000000e-03        6.93
   46    7.000000e-03        6.69
   47    7.000000e-03        6.84
   48    7.000000e-03        6.88
   49    7.000000e-03        6.84
   50    7.000000e-03        6.83
   51    7.000000e-03        6.83
   52    7.000000e-03        6.84
   53    7.000000e-03        6.92
   54    7.000000e-03        6.85
   55    7.000000e-03        6.88
   56    7.000000e-03        6.82
   57    7.000000e-03        6.82
   58    7.000000e-03        6.91
   59    7.000000e-03        6.92
   60    7.000000e-03        6.79
   61    7.000000e-03        6.80
   62    7.000000e-03        6.70
   63    7.000000e-03        6.80
   64    7.000000e-03        6.80
   65    7.000000e-03        6.88
   66    7.000000e-03        6.71
   67    7.000000e-03        6.86
   68    7.000000e-03        7.04
   69    7.000000e-03        6.98
   70    7.000000e-03        6.83
   71    7.000000e-03        6.74
   72    7.000000e-03        6.54
   73    7.000000e-03        6.78
   74    7.000000e-03        6.76
   75    7.000000e-03        6.91
   76    7.000000e-03        6.80
   77    7.000000e-03        6.77
   78    7.000000e-03        6.91
   79    7.000000e-03        6.83
   80    7.000000e-03        7.01
   81    7.000000e-03        6.83
   82    7.000000e-03        6.69
   83    7.000000e-03        6.76
   84    7.000000e-03        6.81
   85    7.000000e-03        6.78
   86    7.000000e-03        6.78
   87    7.000000e-03        6.72
   88    7.000000e-03        6.90
   89    7.000000e-03        6.82
   90    7.000000e-03        6.79
   91    7.000000e-03        6.66
   92    7.000000e-03        6.81
   93    7.000000e-03        6.76
   94    7.000000e-03        6.57
   95    7.000000e-03        6.70
   96    7.000000e-03        6.93
   97    7.000000e-03        6.83
   98    7.000000e-03        6.76
   99    7.000000e-03        6.89
  100    7.000000e-03        6.93
