════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 02:06:50
════════════════════════════════════════════════════════════

Función objetivo : exp(x)
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : protectedExp(x)
Nodos       : 2
Profundidad : 1
Fitness     : 2.000000e-03
Expresión   : exp(x)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 0.000000e+00
  RMSE  : 0.000000e+00
  MAE   : 0.000000e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    2.000000e-03        5.47
    1    2.000000e-03        5.16
    2    2.000000e-03        5.34
    3    2.000000e-03        4.83
    4    2.000000e-03        3.19
    5    2.000000e-03        2.14
    6    2.000000e-03        2.22
    7    2.000000e-03        2.09
    8    2.000000e-03        2.17
    9    2.000000e-03        2.08
   10    2.000000e-03        2.12
   11    2.000000e-03        2.15
   12    2.000000e-03        2.17
   13    2.000000e-03        2.14
   14    2.000000e-03        2.20
   15    2.000000e-03        2.16
   16    2.000000e-03        2.06
   17    2.000000e-03        2.09
   18    2.000000e-03        2.20
   19    2.000000e-03        2.21
   20    2.000000e-03        2.10
   21    2.000000e-03        2.16
   22    2.000000e-03        2.25
   23    2.000000e-03        2.18
   24    2.000000e-03        2.14
   25    2.000000e-03        2.21
   26    2.000000e-03        2.21
   27    2.000000e-03        2.11
   28    2.000000e-03        2.15
   29    2.000000e-03        2.13
   30    2.000000e-03        2.11
   31    2.000000e-03        2.11
   32    2.000000e-03        2.24
   33    2.000000e-03        2.17
   34    2.000000e-03        2.06
   35    2.000000e-03        2.28
   36    2.000000e-03        2.12
   37    2.000000e-03        2.14
   38    2.000000e-03        2.09
   39    2.000000e-03        2.27
   40    2.000000e-03        2.15
   41    2.000000e-03        2.10
   42    2.000000e-03        2.17
   43    2.000000e-03        2.10
   44    2.000000e-03        2.13
   45    2.000000e-03        2.15
   46    2.000000e-03        2.22
   47    2.000000e-03        2.18
   48    2.000000e-03        2.13
   49    2.000000e-03        2.18
   50    2.000000e-03        2.15
   51    2.000000e-03        2.06
   52    2.000000e-03        2.13
   53    2.000000e-03        2.16
   54    2.000000e-03        2.14
   55    2.000000e-03        2.13
   56    2.000000e-03        2.12
   57    2.000000e-03        2.11
   58    2.000000e-03        2.17
   59    2.000000e-03        2.09
   60    2.000000e-03        2.18
   61    2.000000e-03        2.21
   62    2.000000e-03        2.18
   63    2.000000e-03        2.08
   64    2.000000e-03        2.24
   65    2.000000e-03        2.12
   66    2.000000e-03        2.19
   67    2.000000e-03        2.23
   68    2.000000e-03        2.12
   69    2.000000e-03        2.19
   70    2.000000e-03        2.05
   71    2.000000e-03        2.17
   72    2.000000e-03        2.18
   73    2.000000e-03        2.07
   74    2.000000e-03        2.10
   75    2.000000e-03        2.08
   76    2.000000e-03        2.15
   77    2.000000e-03        2.13
   78    2.000000e-03        2.13
   79    2.000000e-03        2.19
   80    2.000000e-03        2.20
   81    2.000000e-03        2.17
   82    2.000000e-03        2.20
   83    2.000000e-03        2.19
   84    2.000000e-03        2.20
   85    2.000000e-03        2.24
   86    2.000000e-03        2.15
   87    2.000000e-03        2.23
   88    2.000000e-03        2.15
   89    2.000000e-03        2.19
   90    2.000000e-03        2.20
   91    2.000000e-03        2.13
   92    2.000000e-03        2.18
   93    2.000000e-03        2.19
   94    2.000000e-03        2.24
   95    2.000000e-03        2.09
   96    2.000000e-03        2.21
   97    2.000000e-03        2.20
   98    2.000000e-03        2.22
   99    2.000000e-03        2.12
  100    2.000000e-03        2.11
