════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 02:07:39
════════════════════════════════════════════════════════════

Función objetivo : exp(x)+exp(y)
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_add(protectedExp(y), protectedExp(x))
Nodos       : 5
Profundidad : 2
Fitness     : 5.000000e-03
Expresión   : exp(x) + exp(y)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 0.000000e+00
  RMSE  : 0.000000e+00
  MAE   : 0.000000e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.331587e+07        5.47
    1    1.329506e+07        5.00
    2    1.329506e+07        4.59
    3    5.000000e-03        3.66
    4    5.000000e-03        4.05
    5    5.000000e-03        5.10
    6    5.000000e-03        6.28
    7    5.000000e-03        7.21
    8    5.000000e-03        7.36
    9    5.000000e-03        7.08
   10    5.000000e-03        6.53
   11    5.000000e-03        6.09
   12    5.000000e-03        5.72
   13    5.000000e-03        5.44
   14    5.000000e-03        5.39
   15    5.000000e-03        5.16
   16    5.000000e-03        5.10
   17    5.000000e-03        5.14
   18    5.000000e-03        4.89
   19    5.000000e-03        4.99
   20    5.000000e-03        4.93
   21    5.000000e-03        5.01
   22    5.000000e-03        5.04
   23    5.000000e-03        5.12
   24    5.000000e-03        5.09
   25    5.000000e-03        4.99
   26    5.000000e-03        5.04
   27    5.000000e-03        5.08
   28    5.000000e-03        4.99
   29    5.000000e-03        5.05
   30    5.000000e-03        5.02
   31    5.000000e-03        5.10
   32    5.000000e-03        4.95
   33    5.000000e-03        5.08
   34    5.000000e-03        5.13
   35    5.000000e-03        5.02
   36    5.000000e-03        5.06
   37    5.000000e-03        4.97
   38    5.000000e-03        4.93
   39    5.000000e-03        4.95
   40    5.000000e-03        4.94
   41    5.000000e-03        5.06
   42    5.000000e-03        5.10
   43    5.000000e-03        5.03
   44    5.000000e-03        4.95
   45    5.000000e-03        4.94
   46    5.000000e-03        4.91
   47    5.000000e-03        5.03
   48    5.000000e-03        4.97
   49    5.000000e-03        4.94
   50    5.000000e-03        4.89
   51    5.000000e-03        4.91
   52    5.000000e-03        4.97
   53    5.000000e-03        5.02
   54    5.000000e-03        5.02
   55    5.000000e-03        4.95
   56    5.000000e-03        4.90
   57    5.000000e-03        4.97
   58    5.000000e-03        5.10
   59    5.000000e-03        5.00
   60    5.000000e-03        4.97
   61    5.000000e-03        4.92
   62    5.000000e-03        4.93
   63    5.000000e-03        4.94
   64    5.000000e-03        5.01
   65    5.000000e-03        4.86
   66    5.000000e-03        4.95
   67    5.000000e-03        5.10
   68    5.000000e-03        5.06
   69    5.000000e-03        5.03
   70    5.000000e-03        5.17
   71    5.000000e-03        5.15
   72    5.000000e-03        5.17
   73    5.000000e-03        5.10
   74    5.000000e-03        5.24
   75    5.000000e-03        5.08
   76    5.000000e-03        5.00
   77    5.000000e-03        5.01
   78    5.000000e-03        4.97
   79    5.000000e-03        5.02
   80    5.000000e-03        5.04
   81    5.000000e-03        4.98
   82    5.000000e-03        4.97
   83    5.000000e-03        4.99
   84    5.000000e-03        4.87
   85    5.000000e-03        4.91
   86    5.000000e-03        4.96
   87    5.000000e-03        4.97
   88    5.000000e-03        4.93
   89    5.000000e-03        4.96
   90    5.000000e-03        4.94
   91    5.000000e-03        4.99
   92    5.000000e-03        5.03
   93    5.000000e-03        4.93
   94    5.000000e-03        4.88
   95    5.000000e-03        5.01
   96    5.000000e-03        5.05
   97    5.000000e-03        4.95
   98    5.000000e-03        4.76
   99    5.000000e-03        5.03
  100    5.000000e-03        4.88
