════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-11 02:08:57
════════════════════════════════════════════════════════════

Función objetivo : exp(x)+exp(y)+cos(x*y)
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.0001
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_add(protectedExp(y), protectedExp(x))
Nodos       : 5
Profundidad : 2
Fitness     : 5.088778e-01
Expresión   : exp(x) + exp(y)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 5.038778e-01
  RMSE  : 7.098435e-01
  MAE   : 6.398944e-01
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.331587e+07        5.47
    1    1.329506e+07        5.00
    2    1.329506e+07        4.59
    3    5.088778e-01        3.66
    4    5.088778e-01        4.05
    5    5.088778e-01        5.10
    6    5.088778e-01        6.28
    7    5.088778e-01        7.21
    8    5.088778e-01        7.36
    9    5.088778e-01        7.08
   10    5.088778e-01        6.53
   11    5.088778e-01        6.10
   12    5.088778e-01        5.60
   13    5.088778e-01        5.61
   14    5.088778e-01        5.50
   15    5.088778e-01        5.20
   16    5.088778e-01        5.00
   17    5.088778e-01        5.05
   18    5.088778e-01        4.88
   19    5.088778e-01        4.90
   20    5.088778e-01        4.93
   21    5.088778e-01        4.91
   22    5.088778e-01        5.04
   23    5.088778e-01        4.87
   24    5.088778e-01        5.01
   25    5.088778e-01        5.08
   26    5.088778e-01        5.09
   27    5.088778e-01        5.06
   28    5.088778e-01        5.10
   29    5.088778e-01        5.10
   30    5.088778e-01        4.89
   31    5.088778e-01        5.00
   32    5.088778e-01        4.99
   33    5.088778e-01        4.92
   34    5.088778e-01        4.90
   35    5.088778e-01        5.00
   36    5.088778e-01        4.97
   37    5.088778e-01        4.99
   38    5.088778e-01        4.93
   39    5.088778e-01        5.14
   40    5.088778e-01        4.98
   41    5.088778e-01        5.02
   42    5.088778e-01        5.20
   43    5.088778e-01        5.14
   44    5.088778e-01        4.94
   45    5.088778e-01        5.02
   46    5.088778e-01        4.88
   47    5.088778e-01        4.92
   48    5.088778e-01        4.80
   49    5.088778e-01        4.90
   50    5.088778e-01        4.98
   51    5.088778e-01        4.99
   52    5.088778e-01        5.05
   53    5.088778e-01        4.98
   54    5.088778e-01        5.04
   55    5.088778e-01        4.97
   56    5.088778e-01        5.07
   57    5.088778e-01        4.89
   58    5.088778e-01        5.01
   59    5.088778e-01        4.87
   60    5.088778e-01        5.00
   61    5.088778e-01        5.08
   62    5.088778e-01        5.02
   63    5.088778e-01        5.00
   64    5.088778e-01        5.04
   65    5.088778e-01        4.99
   66    5.088778e-01        5.02
   67    5.088778e-01        4.92
   68    5.088778e-01        4.91
   69    5.088778e-01        5.08
   70    5.088778e-01        5.20
   71    5.088778e-01        5.27
   72    5.088778e-01        5.05
   73    5.088778e-01        5.11
   74    5.088778e-01        5.10
   75    5.088778e-01        5.13
   76    5.088778e-01        5.08
   77    5.088778e-01        4.99
   78    5.088778e-01        5.00
   79    5.088778e-01        4.90
   80    5.088778e-01        5.11
   81    5.088778e-01        4.82
   82    5.088778e-01        4.92
   83    5.088778e-01        4.96
   84    5.088778e-01        4.97
   85    5.088778e-01        4.95
   86    5.088778e-01        5.02
   87    5.088778e-01        4.95
   88    5.088778e-01        4.95
   89    5.088778e-01        4.98
   90    5.088778e-01        5.00
   91    5.088778e-01        5.04
   92    5.088778e-01        5.08
   93    5.088778e-01        5.00
   94    5.088778e-01        5.03
   95    5.088778e-01        5.04
   96    5.088778e-01        4.90
   97    5.088778e-01        5.01
   98    5.088778e-01        4.99
   99    5.088778e-01        4.95
  100    5.088778e-01        4.96
