════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-13 17:22:43
════════════════════════════════════════════════════════════

Función objetivo : y*cos(x)
Población        : 300
Generaciones     : 100
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.02
Umbral parada    : 0.01
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_mul(np_cos(x), y)
Nodos       : 4
Profundidad : 2
Fitness     : 8.000000e-02
Expresión   : y*cos(x)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 0.000000e+00
  RMSE  : 0.000000e+00
  MAE   : 0.000000e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.766953e+01        5.77
    1    1.766953e+01        4.37
    2    1.766953e+01        3.62
    3    1.766912e+01        3.35
    4    1.766912e+01        2.82
    5    1.766912e+01        2.59
    6    1.766912e+01        3.03
    7    1.766912e+01        3.67
    8    1.766912e+01        4.38
    9    1.764912e+01        4.64
   10    1.764912e+01        4.80
   11    1.483074e+01        4.91
   12    1.479074e+01        5.23
   13    1.479074e+01        5.14
   14    1.479074e+01        5.00
   15    1.479074e+01        5.18
   16    1.381190e+01        5.35
   17    1.381190e+01        5.59
   18    1.381190e+01        6.01
   19    1.381190e+01        6.29
   20    1.381190e+01        6.40
   21    1.340372e+01        6.39
   22    1.340372e+01        7.30
   23    1.340372e+01        7.99
   24    1.340372e+01        8.41
   25    1.340372e+01        8.43
   26    1.340372e+01        8.79
   27    1.340372e+01        9.57
   28    1.340372e+01        9.70
   29    1.338372e+01        9.91
   30    1.338372e+01       10.01
   31    1.336372e+01       10.00
   32    1.336372e+01        9.90
   33    1.336372e+01        9.79
   34    1.336372e+01       10.24
   35    3.887638e-01       10.05
   36    3.887638e-01       10.61
   37    3.887638e-01       10.54
   38    3.887638e-01       10.01
   39    3.887638e-01        9.77
   40    3.887638e-01        9.52
   41    8.000000e-02        9.28
   42    8.000000e-02        9.34
   43    8.000000e-02        8.76
   44    8.000000e-02        8.41
   45    8.000000e-02        7.29
   46    8.000000e-02        6.38
   47    8.000000e-02        5.39
   48    8.000000e-02        4.47
   49    8.000000e-02        4.21
   50    8.000000e-02        4.12
   51    8.000000e-02        4.07
   52    8.000000e-02        4.08
   53    8.000000e-02        4.09
   54    8.000000e-02        4.17
   55    8.000000e-02        4.10
   56    8.000000e-02        4.12
   57    8.000000e-02        4.12
   58    8.000000e-02        4.04
   59    8.000000e-02        4.01
   60    8.000000e-02        4.13
   61    8.000000e-02        4.20
   62    8.000000e-02        4.05
   63    8.000000e-02        4.24
   64    8.000000e-02        4.12
   65    8.000000e-02        4.13
   66    8.000000e-02        4.20
   67    8.000000e-02        4.16
   68    8.000000e-02        4.05
   69    8.000000e-02        4.08
   70    8.000000e-02        4.22
   71    8.000000e-02        4.12
   72    8.000000e-02        4.19
   73    8.000000e-02        4.17
   74    8.000000e-02        4.16
   75    8.000000e-02        4.16
   76    8.000000e-02        4.07
   77    8.000000e-02        3.99
   78    8.000000e-02        4.10
   79    8.000000e-02        4.09
   80    8.000000e-02        4.09
   81    8.000000e-02        4.18
   82    8.000000e-02        4.06
   83    8.000000e-02        4.04
   84    8.000000e-02        4.12
   85    8.000000e-02        4.14
   86    8.000000e-02        4.03
   87    8.000000e-02        4.16
   88    8.000000e-02        4.12
   89    8.000000e-02        4.07
   90    8.000000e-02        4.16
   91    8.000000e-02        4.15
   92    8.000000e-02        4.09
   93    8.000000e-02        4.17
   94    8.000000e-02        4.17
   95    8.000000e-02        4.16
   96    8.000000e-02        3.97
   97    8.000000e-02        4.10
   98    8.000000e-02        4.14
   99    8.000000e-02        4.08
  100    8.000000e-02        4.11
