════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-13 17:37:09
════════════════════════════════════════════════════════════

Función objetivo : exp(x)+exp(y)+cos(x*y)
Población        : 500
Generaciones     : 200
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.01
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_add(protectedExp(x), protectedExp(y))
Nodos       : 5
Profundidad : 2
Fitness     : 5.088778e-01
Expresión   : exp(x) + exp(y)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 5.038778e-01
  RMSE  : 7.098435e-01
  MAE   : 6.398944e-01
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.331491e+07        5.82
    1    1.331436e+07        4.42
    2    1.329362e+07        3.83
    3    1.327432e+07        3.38
    4    5.088778e-01        3.95
    5    5.088778e-01        5.41
    6    5.088778e-01        5.90
    7    5.088778e-01        6.37
    8    5.088778e-01        6.28
    9    5.088778e-01        6.02
   10    5.088778e-01        5.84
   11    5.088778e-01        5.60
   12    5.088778e-01        5.44
   13    5.088778e-01        5.28
   14    5.088778e-01        5.04
   15    5.088778e-01        5.05
   16    5.088778e-01        5.07
   17    5.088778e-01        5.14
   18    5.088778e-01        5.06
   19    5.088778e-01        5.10
   20    5.088778e-01        5.09
   21    5.088778e-01        5.00
   22    5.088778e-01        5.00
   23    5.088778e-01        5.01
   24    5.088778e-01        4.94
   25    5.088778e-01        4.98
   26    5.088778e-01        4.91
   27    5.088778e-01        4.92
   28    5.088778e-01        4.96
   29    5.088778e-01        4.96
   30    5.088778e-01        4.95
   31    5.088778e-01        5.03
   32    5.088778e-01        5.00
   33    5.088778e-01        5.09
   34    5.088778e-01        5.11
   35    5.088778e-01        5.07
   36    5.088778e-01        4.91
   37    5.088778e-01        5.00
   38    5.088778e-01        4.96
   39    5.088778e-01        5.04
   40    5.088778e-01        4.99
   41    5.088778e-01        4.94
   42    5.088778e-01        4.96
   43    5.088778e-01        4.95
   44    5.088778e-01        4.92
   45    5.088778e-01        5.00
   46    5.088778e-01        5.03
   47    5.088778e-01        4.99
   48    5.088778e-01        5.02
   49    5.088778e-01        5.06
   50    5.088778e-01        4.96
   51    5.088778e-01        5.02
   52    5.088778e-01        5.07
   53    5.088778e-01        4.94
   54    5.088778e-01        4.99
   55    5.088778e-01        4.97
   56    5.088778e-01        4.98
   57    5.088778e-01        4.94
   58    5.088778e-01        5.04
   59    5.088778e-01        5.00
   60    5.088778e-01        4.90
   61    5.088778e-01        4.90
   62    5.088778e-01        4.93
   63    5.088778e-01        4.97
   64    5.088778e-01        5.06
   65    5.088778e-01        5.01
   66    5.088778e-01        5.05
   67    5.088778e-01        4.95
   68    5.088778e-01        4.97
   69    5.088778e-01        4.94
   70    5.088778e-01        4.93
   71    5.088778e-01        4.89
   72    5.088778e-01        4.90
   73    5.088778e-01        4.97
   74    5.088778e-01        4.93
   75    5.088778e-01        5.05
   76    5.088778e-01        4.98
   77    5.088778e-01        5.08
   78    5.088778e-01        5.04
   79    5.088778e-01        5.07
   80    5.088778e-01        5.02
   81    5.088778e-01        4.90
   82    5.088778e-01        4.98
   83    5.088778e-01        4.97
   84    5.088778e-01        5.02
   85    5.088778e-01        5.14
   86    5.088778e-01        4.98
   87    5.088778e-01        5.00
   88    5.088778e-01        5.03
   89    5.088778e-01        5.08
   90    5.088778e-01        5.04
   91    5.088778e-01        4.94
   92    5.088778e-01        4.95
   93    5.088778e-01        5.04
   94    5.088778e-01        5.01
   95    5.088778e-01        5.02
   96    5.088778e-01        4.96
   97    5.088778e-01        5.00
   98    5.088778e-01        4.92
   99    5.088778e-01        4.94
  100    5.088778e-01        5.03
  101    5.088778e-01        5.01
  102    5.088778e-01        5.03
  103    5.088778e-01        5.11
  104    5.088778e-01        5.01
  105    5.088778e-01        5.05
  106    5.088778e-01        4.96
  107    5.088778e-01        5.07
  108    5.088778e-01        4.98
  109    5.088778e-01        5.06
  110    5.088778e-01        4.94
  111    5.088778e-01        5.01
  112    5.088778e-01        5.02
  113    5.088778e-01        5.00
  114    5.088778e-01        4.98
  115    5.088778e-01        5.04
  116    5.088778e-01        5.11
  117    5.088778e-01        4.98
  118    5.088778e-01        5.12
  119    5.088778e-01        4.95
  120    5.088778e-01        4.97
  121    5.088778e-01        5.00
  122    5.088778e-01        5.05
  123    5.088778e-01        5.08
  124    5.088778e-01        5.09
  125    5.088778e-01        4.97
  126    5.088778e-01        5.04
  127    5.088778e-01        4.98
  128    5.088778e-01        4.94
  129    5.088778e-01        4.97
  130    5.088778e-01        5.02
  131    5.088778e-01        4.89
  132    5.088778e-01        4.94
  133    5.088778e-01        5.03
  134    5.088778e-01        5.02
  135    5.088778e-01        4.98
  136    5.088778e-01        5.06
  137    5.088778e-01        4.87
  138    5.088778e-01        4.88
  139    5.088778e-01        4.90
  140    5.088778e-01        4.92
  141    5.088778e-01        5.00
  142    5.088778e-01        5.02
  143    5.088778e-01        5.01
  144    5.088778e-01        4.89
  145    5.088778e-01        5.00
  146    5.088778e-01        4.97
  147    5.088778e-01        4.91
  148    5.088778e-01        4.99
  149    5.088778e-01        4.96
  150    5.088778e-01        4.99
  151    5.088778e-01        5.00
  152    5.088778e-01        4.95
  153    5.088778e-01        5.01
  154    5.088778e-01        4.91
  155    5.088778e-01        4.97
  156    5.088778e-01        4.89
  157    5.088778e-01        4.92
  158    5.088778e-01        5.03
  159    5.088778e-01        4.99
  160    5.088778e-01        5.10
  161    5.088778e-01        4.97
  162    5.088778e-01        5.04
  163    5.088778e-01        5.05
  164    5.088778e-01        4.98
  165    5.088778e-01        5.00
  166    5.088778e-01        5.11
  167    5.088778e-01        4.90
  168    5.088778e-01        4.98
  169    5.088778e-01        4.94
  170    5.088778e-01        4.98
  171    5.088778e-01        5.04
  172    5.088778e-01        4.90
  173    5.088778e-01        5.01
  174    5.088778e-01        5.06
  175    5.088778e-01        5.01
  176    5.088778e-01        4.98
  177    5.088778e-01        5.09
  178    5.088778e-01        5.00
  179    5.088778e-01        4.95
  180    5.088778e-01        4.95
  181    5.088778e-01        4.92
  182    5.088778e-01        4.90
  183    5.088778e-01        4.98
  184    5.088778e-01        4.87
  185    5.088778e-01        4.84
  186    5.088778e-01        4.90
  187    5.088778e-01        4.98
  188    5.088778e-01        5.02
  189    5.088778e-01        5.02
  190    5.088778e-01        4.94
  191    5.088778e-01        4.98
  192    5.088778e-01        4.98
  193    5.088778e-01        4.99
  194    5.088778e-01        5.02
  195    5.088778e-01        4.96
  196    5.088778e-01        5.06
  197    5.088778e-01        5.00
  198    5.088778e-01        5.01
  199    5.088778e-01        5.08
  200    5.088778e-01        5.03
