════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-13 17:38:28
════════════════════════════════════════════════════════════

Función objetivo : cos(x*y)
Población        : 500
Generaciones     : 200
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.01
Parada anticipada: Sí

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_cos(np_mul(y, x))
Nodos       : 4
Profundidad : 2
Fitness     : 4.000000e-03
Expresión   : cos(x*y)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 0.000000e+00
  RMSE  : 0.000000e+00
  MAE   : 0.000000e+00
  R²    : 1.000000e+00

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    5.019027e-01        5.82
    1    5.019027e-01        4.41
    2    5.019027e-01        4.10
    3    5.019027e-01        3.19
    4    5.019027e-01        3.02
    5    5.019027e-01        3.16
    6    5.019027e-01        3.18
    7    4.999523e-01        3.13
    8    4.989523e-01        3.20
    9    4.989523e-01        3.35
   10    4.989523e-01        3.89
   11    4.963750e-01        4.73
   12    4.963750e-01        5.17
   13    4.963750e-01        5.36
   14    4.963750e-01        5.73
   15    4.907719e-01        6.20
   16    4.880801e-01        6.84
   17    4.880801e-01        7.42
   18    4.880801e-01        7.81
   19    4.867131e-01        8.28
   20    4.867131e-01        8.79
   21    4.867131e-01        9.20
   22    4.867131e-01        9.45
   23    4.867131e-01        9.53
   24    4.867131e-01        9.83
   25    4.867131e-01        9.85
   26    4.867131e-01       10.00
   27    4.867131e-01        9.97
   28    4.867131e-01       10.02
   29    4.867131e-01       10.05
   30    4.867131e-01        9.89
   31    4.867131e-01        9.96
   32    4.867131e-01       10.06
   33    4.867131e-01       10.12
   34    4.867131e-01       10.03
   35    4.867131e-01        9.93
   36    4.867131e-01       10.03
   37    4.867131e-01        9.90
   38    4.867131e-01        9.97
   39    4.867131e-01        9.86
   40    4.867131e-01        9.93
   41    4.867131e-01        9.90
   42    4.867131e-01        9.85
   43    4.867131e-01        9.78
   44    4.867131e-01        9.73
   45    4.867131e-01       10.06
   46    4.867131e-01       10.02
   47    4.867131e-01        9.91
   48    4.867131e-01        9.93
   49    4.867131e-01       10.07
   50    4.867131e-01       10.15
   51    4.867131e-01       10.08
   52    4.867131e-01        9.98
   53    4.867131e-01        9.97
   54    4.867131e-01       10.03
   55    4.867131e-01       10.10
   56    4.867131e-01       10.00
   57    4.867131e-01       10.01
   58    4.867131e-01        9.98
   59    4.867131e-01        9.88
   60    4.867131e-01       10.08
   61    4.867131e-01       10.05
   62    4.000000e-03        9.94
