════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-13 17:54:24
════════════════════════════════════════════════════════════

Función objetivo : cos(y/(Abs(x)+1))
Población        : 500
Generaciones     : 200
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.02
Umbral parada    : 0.01
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_cos(protectedDiv(y, x))
Nodos       : 4
Profundidad : 2
Fitness     : 2.992697e-01
Expresión   : cos(y/x)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 2.192697e-01
  RMSE  : 4.682624e-01
  MAE   : 2.648605e-01
  R²    : 3.470766e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    3.644861e-01        5.82
    1    3.644861e-01        4.25
    2    3.429985e-01        3.87
    3    3.429985e-01        3.27
    4    3.429985e-01        3.09
    5    3.429985e-01        3.85
    6    3.429985e-01        4.18
    7    3.429985e-01        4.54
    8    3.429985e-01        4.71
    9    3.429985e-01        4.85
   10    3.429985e-01        4.83
   11    3.229985e-01        4.98
   12    3.229985e-01        4.98
   13    3.229985e-01        4.95
   14    3.229985e-01        4.83
   15    3.229985e-01        4.73
   16    3.229985e-01        4.66
   17    3.229985e-01        4.45
   18    3.229985e-01        4.31
   19    3.229985e-01        4.05
   20    3.229985e-01        4.07
   21    3.229985e-01        4.15
   22    3.229985e-01        4.04
   23    3.229985e-01        4.13
   24    3.229985e-01        4.14
   25    3.229985e-01        4.06
   26    3.229985e-01        4.01
   27    3.229985e-01        4.10
   28    3.229985e-01        4.15
   29    3.229985e-01        4.10
   30    3.229985e-01        4.12
   31    3.229985e-01        4.07
   32    3.229985e-01        4.09
   33    3.229985e-01        4.10
   34    3.229985e-01        4.16
   35    3.229985e-01        4.16
   36    3.229985e-01        4.10
   37    3.229985e-01        4.16
   38    3.229985e-01        4.10
   39    3.229985e-01        4.06
   40    3.229985e-01        4.02
   41    3.229985e-01        4.11
   42    3.229985e-01        4.10
   43    3.229985e-01        4.13
   44    3.229985e-01        4.16
   45    3.229985e-01        4.06
   46    3.229985e-01        4.10
   47    3.229985e-01        4.11
   48    3.229985e-01        4.16
   49    3.229985e-01        4.14
   50    3.229985e-01        4.03
   51    3.229985e-01        4.18
   52    3.229985e-01        4.12
   53    3.229985e-01        4.12
   54    3.229985e-01        4.02
   55    3.229985e-01        4.09
   56    3.229985e-01        4.10
   57    3.229985e-01        4.01
   58    3.229985e-01        4.07
   59    3.229985e-01        4.11
   60    3.229985e-01        4.11
   61    3.229985e-01        4.05
   62    3.229985e-01        4.07
   63    3.229985e-01        4.14
   64    3.229985e-01        4.21
   65    3.229985e-01        4.14
   66    3.229985e-01        4.08
   67    3.229985e-01        4.08
   68    3.229985e-01        4.08
   69    3.229985e-01        4.08
   70    3.229985e-01        4.12
   71    3.229985e-01        4.05
   72    3.229985e-01        4.05
   73    3.229985e-01        4.08
   74    3.229985e-01        4.04
   75    3.229985e-01        4.11
   76    3.229985e-01        4.13
   77    3.229985e-01        4.12
   78    3.229985e-01        4.12
   79    3.229985e-01        4.14
   80    3.229985e-01        4.09
   81    3.229985e-01        4.05
   82    3.229985e-01        4.06
   83    3.229985e-01        4.08
   84    3.229985e-01        4.16
   85    3.229985e-01        4.05
   86    3.229985e-01        4.12
   87    3.229985e-01        4.07
   88    3.229985e-01        4.07
   89    3.229985e-01        4.23
   90    3.229985e-01        4.09
   91    3.229985e-01        4.05
   92    3.229985e-01        4.09
   93    3.229985e-01        4.08
   94    3.229985e-01        4.15
   95    3.229985e-01        4.12
   96    3.229985e-01        4.10
   97    3.107351e-01        4.07
   98    3.107351e-01        4.16
   99    3.107351e-01        4.10
  100    3.107351e-01        4.07
  101    3.107351e-01        4.05
  102    3.107351e-01        4.13
  103    3.107351e-01        4.12
  104    3.107351e-01        4.03
  105    3.107351e-01        4.09
  106    3.107351e-01        4.16
  107    3.107351e-01        4.11
  108    3.107351e-01        4.04
  109    3.107351e-01        4.08
  110    3.107351e-01        4.07
  111    3.107351e-01        4.03
  112    3.107351e-01        4.14
  113    3.107351e-01        4.17
  114    3.107351e-01        4.08
  115    3.107351e-01        4.11
  116    3.107351e-01        4.01
  117    3.107351e-01        4.11
  118    3.107351e-01        4.13
  119    3.107351e-01        4.13
  120    3.107351e-01        4.13
  121    3.107351e-01        4.15
  122    3.107351e-01        4.07
  123    3.107351e-01        4.15
  124    3.107351e-01        4.08
  125    3.107351e-01        4.01
  126    3.107351e-01        4.05
  127    3.107351e-01        4.13
  128    3.107351e-01        4.15
  129    3.107351e-01        4.16
