════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-13 17:56:51
════════════════════════════════════════════════════════════

Función objetivo : cos(((x + y) + (3 + 1)))
Población        : 500
Generaciones     : 200
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.02
Umbral parada    : 0.01
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_sin(np_add(-7, np_add(y, x)))
Nodos       : 6
Profundidad : 3
Fitness     : 1.200098e-01
Expresión   : sin(x + y - 7.0)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 9.796541e-06
  RMSE  : 3.129943e-03
  MAE   : 2.818161e-03
  R²    : 9.999804e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    3.236093e-01        5.82
    1    3.236093e-01        4.34
    2    3.236093e-01        3.82
    3    3.236093e-01        3.07
    4    3.236093e-01        2.80
    5    3.236093e-01        3.40
    6    3.236093e-01        3.75
    7    3.236093e-01        3.94
    8    3.236093e-01        3.98
    9    3.236093e-01        4.03
   10    3.236093e-01        3.86
   11    3.236093e-01        3.99
   12    3.236093e-01        3.97
   13    3.236093e-01        3.93
   14    2.783829e-01        3.83
   15    2.783829e-01        3.99
   16    2.783829e-01        4.07
   17    2.783829e-01        4.04
   18    2.577177e-01        4.13
   19    2.577177e-01        4.12
   20    2.577177e-01        4.28
   21    1.610628e-01        4.40
   22    1.610628e-01        4.72
   23    1.610628e-01        4.75
   24    1.610628e-01        4.89
   25    1.610628e-01        4.98
   26    1.610628e-01        5.18
   27    1.610628e-01        5.53
   28    1.610628e-01        5.53
   29    1.600098e-01        5.51
   30    1.600098e-01        5.58
   31    1.600098e-01        5.67
   32    1.600098e-01        5.94
   33    1.600098e-01        5.99
   34    1.600098e-01        6.24
   35    1.600098e-01        6.25
   36    1.600098e-01        6.51
   37    1.600098e-01        6.69
   38    1.600098e-01        6.94
   39    1.600098e-01        7.01
   40    1.600098e-01        6.99
   41    1.600098e-01        7.18
   42    1.600098e-01        7.31
   43    1.600098e-01        7.26
   44    1.600098e-01        7.27
   45    1.600098e-01        7.31
   46    1.600098e-01        7.40
   47    1.600098e-01        7.24
   48    1.600098e-01        7.36
   49    1.600098e-01        7.25
   50    1.600098e-01        7.23
   51    1.600098e-01        7.37
   52    1.600098e-01        7.17
   53    1.600098e-01        7.19
   54    1.600098e-01        7.14
   55    1.600098e-01        7.01
   56    1.600098e-01        7.25
   57    1.600098e-01        7.08
   58    1.600098e-01        7.20
   59    1.600098e-01        7.29
   60    1.600098e-01        7.19
   61    1.600098e-01        7.28
   62    1.600098e-01        7.17
   63    1.600098e-01        7.17
   64    1.600098e-01        7.48
   65    1.600098e-01        7.35
   66    1.600098e-01        7.39
   67    1.600098e-01        7.40
   68    1.600098e-01        7.55
   69    1.600098e-01        7.37
   70    1.600098e-01        7.27
   71    1.600098e-01        7.17
   72    1.600098e-01        7.13
   73    1.600098e-01        6.91
   74    1.600098e-01        7.16
   75    1.600098e-01        7.27
   76    1.600098e-01        7.40
   77    1.600098e-01        7.50
   78    1.600098e-01        7.28
   79    1.600098e-01        7.03
   80    1.600098e-01        7.17
   81    1.600098e-01        7.33
   82    1.600098e-01        7.27
   83    1.600098e-01        7.07
   84    1.600098e-01        7.31
   85    1.600098e-01        7.33
   86    1.600098e-01        7.35
   87    1.600098e-01        7.27
   88    1.600098e-01        7.05
   89    1.600098e-01        7.19
   90    1.600098e-01        7.14
   91    1.600098e-01        7.16
   92    1.600098e-01        7.12
   93    1.600098e-01        7.01
   94    1.600098e-01        7.16
   95    1.600098e-01        7.13
   96    1.600098e-01        7.06
   97    1.600098e-01        6.98
   98    1.600098e-01        7.22
   99    1.600098e-01        7.23
  100    1.600098e-01        7.38
  101    1.600098e-01        7.19
  102    1.600098e-01        7.26
  103    1.600098e-01        7.39
  104    1.600098e-01        7.28
  105    1.400098e-01        7.41
  106    1.400098e-01        7.17
  107    1.400098e-01        7.09
  108    1.400098e-01        7.34
  109    1.400098e-01        7.27
  110    1.400098e-01        7.32
  111    1.400098e-01        7.24
  112    1.400098e-01        7.29
  113    1.400098e-01        7.04
  114    1.400098e-01        7.24
  115    1.400098e-01        7.09
  116    1.400098e-01        6.97
  117    1.400098e-01        6.77
  118    1.400098e-01        6.87
  119    1.400098e-01        6.67
  120    1.400098e-01        6.78
  121    1.400098e-01        6.62
  122    1.400098e-01        6.56
  123    1.400098e-01        6.56
  124    1.400098e-01        6.47
  125    1.400098e-01        6.48
  126    1.400098e-01        6.40
  127    1.400098e-01        6.61
  128    1.400098e-01        6.37
  129    1.400098e-01        6.50
  130    1.400098e-01        6.72
  131    1.400098e-01        6.50
  132    1.400098e-01        6.42
  133    1.400098e-01        6.44
  134    1.400098e-01        6.47
  135    1.400098e-01        6.64
  136    1.400098e-01        6.69
  137    1.200098e-01        6.50
  138    1.200098e-01        6.63
  139    1.200098e-01        6.39
  140    1.200098e-01        6.45
  141    1.200098e-01        6.24
  142    1.200098e-01        6.49
  143    1.200098e-01        6.30
  144    1.200098e-01        6.26
  145    1.200098e-01        6.30
  146    1.200098e-01        6.13
  147    1.200098e-01        5.80
  148    1.200098e-01        5.81
  149    1.200098e-01        5.76
  150    1.200098e-01        5.65
  151    1.200098e-01        5.75
  152    1.200098e-01        5.68
  153    1.200098e-01        5.62
  154    1.200098e-01        5.76
  155    1.200098e-01        5.77
  156    1.200098e-01        5.73
  157    1.200098e-01        5.85
  158    1.200098e-01        5.76
  159    1.200098e-01        5.69
  160    1.200098e-01        5.72
  161    1.200098e-01        5.80
  162    1.200098e-01        5.78
  163    1.200098e-01        5.75
  164    1.200098e-01        5.68
  165    1.200098e-01        5.64
  166    1.200098e-01        5.63
  167    1.200098e-01        5.75
  168    1.200098e-01        5.69
  169    1.200098e-01        5.74
  170    1.200098e-01        5.72
  171    1.200098e-01        5.76
  172    1.200098e-01        5.68
  173    1.200098e-01        5.62
  174    1.200098e-01        5.59
  175    1.200098e-01        5.72
  176    1.200098e-01        5.69
  177    1.200098e-01        5.72
  178    1.200098e-01        5.75
  179    1.200098e-01        5.77
  180    1.200098e-01        5.63
