════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-13 18:01:44
════════════════════════════════════════════════════════════

Función objetivo : y*cos(x) + x*sin(y) + x**2 - y**2
Población        : 500
Generaciones     : 200
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.02
Umbral parada    : 0.01
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_add(np_sin(np_add(x, y)), np_add(np_neg(np_mul(y, y)), np_mul(x, np_add(x, np_sin(y)))))
Nodos       : 16
Profundidad : 5
Fitness     : 1.765984e+01
Expresión   : x*(x + sin(y)) - y**2 + sin(x + y)

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 1.733984e+01
  RMSE  : 4.164113e+00
  MAE   : 3.257102e+00
  R²    : 9.906121e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    1.513689e+03        5.82
    1    1.513689e+03        4.68
    2    1.513689e+03        4.68
    3    1.438648e+03        4.45
    4    1.419215e+03        3.96
    5    1.412723e+03        5.34
    6    1.207404e+03        7.44
    7    1.194798e+03        9.09
    8    1.062802e+03       10.65
    9    1.062802e+03       11.34
   10    1.010356e+03       12.25
   11    9.537399e+02       12.94
   12    9.407660e+02       13.43
   13    9.407660e+02       14.20
   14    8.176792e+02       13.20
   15    8.176792e+02       12.72
   16    8.176792e+02       12.37
   17    8.176792e+02       12.56
   18    8.015076e+02       12.45
   19    8.015076e+02       12.61
   20    3.579467e+02       13.40
   21    3.579467e+02       13.54
   22    1.779067e+02       13.98
   23    1.779067e+02       14.62
   24    1.035733e+02       14.83
   25    1.035733e+02       15.31
   26    6.753333e+01       15.65
   27    4.329483e+01       15.66
   28    4.329483e+01       15.24
   29    3.390667e+01       15.23
   30    3.390667e+01       14.09
   31    3.390667e+01       13.49
   32    3.390667e+01       13.23
   33    3.390658e+01       13.38
   34    3.390658e+01       13.55
   35    3.390658e+01       14.05
   36    3.390658e+01       14.98
   37    3.390658e+01       15.99
   38    3.390658e+01       16.20
   39    3.390658e+01       15.17
   40    3.390658e+01       14.96
   41    3.390658e+01       14.40
   42    3.390658e+01       14.14
   43    3.363698e+01       13.79
   44    3.363698e+01       13.54
   45    3.363698e+01       13.09
   46    3.363698e+01       13.56
   47    3.363698e+01       13.29
   48    3.363698e+01       13.11
   49    3.329526e+01       12.96
   50    3.329526e+01       13.20
   51    3.327477e+01       13.56
   52    3.327477e+01       13.03
   53    3.327477e+01       12.96
   54    3.317053e+01       12.79
   55    3.317053e+01       12.92
   56    3.317053e+01       12.72
   57    1.788953e+01       13.04
   58    1.788953e+01       13.27
   59    1.788953e+01       13.28
   60    1.788953e+01       13.80
   61    1.788953e+01       14.03
   62    1.788953e+01       14.29
   63    1.788953e+01       14.34
   64    1.788953e+01       14.06
   65    1.788953e+01       14.84
   66    1.788953e+01       14.67
   67    1.788953e+01       14.81
   68    1.788953e+01       15.35
   69    1.788953e+01       15.45
   70    1.788953e+01       15.10
   71    1.788953e+01       15.14
   72    1.788953e+01       15.18
   73    1.788953e+01       14.91
   74    1.788953e+01       14.37
   75    1.788953e+01       13.95
   76    1.788953e+01       14.21
   77    1.788953e+01       13.76
   78    1.788953e+01       13.51
   79    1.788953e+01       13.45
   80    1.788953e+01       13.51
   81    1.788953e+01       13.75
   82    1.788953e+01       13.69
   83    1.788953e+01       13.91
   84    1.788953e+01       13.92
   85    1.788953e+01       13.67
   86    1.788953e+01       13.95
   87    1.788953e+01       14.23
   88    1.788953e+01       14.33
   89    1.788953e+01       13.91
   90    1.788953e+01       13.83
   91    1.788953e+01       13.69
   92    1.788953e+01       13.60
   93    1.788953e+01       13.34
   94    1.788953e+01       13.15
   95    1.788953e+01       13.24
   96    1.788953e+01       13.52
   97    1.788953e+01       13.26
   98    1.788953e+01       12.94
   99    1.788953e+01       12.71
  100    1.788953e+01       12.84
  101    1.788953e+01       13.07
  102    1.788953e+01       12.82
  103    1.788953e+01       12.91
  104    1.788953e+01       12.98
  105    1.788953e+01       12.87
  106    1.788953e+01       12.74
  107    1.788953e+01       12.94
  108    1.788953e+01       12.97
  109    1.788953e+01       12.95
  110    1.788953e+01       13.10
  111    1.788953e+01       12.88
  112    1.788953e+01       13.11
  113    1.788953e+01       13.30
  114    1.788953e+01       13.40
  115    1.788953e+01       13.81
  116    1.788953e+01       14.03
  117    1.788953e+01       14.59
  118    1.788953e+01       14.66
  119    1.788953e+01       14.25
  120    1.788953e+01       14.35
  121    1.788953e+01       13.92
  122    1.788953e+01       13.81
  123    1.788953e+01       13.69
  124    1.788953e+01       13.34
  125    1.788953e+01       13.17
  126    1.788953e+01       13.27
  127    1.788953e+01       13.40
  128    1.788953e+01       13.78
  129    1.788953e+01       13.80
  130    1.788953e+01       13.47
  131    1.788953e+01       13.48
  132    1.788953e+01       12.85
  133    1.788953e+01       12.94
  134    1.788953e+01       12.91
  135    1.788953e+01       12.83
  136    1.788953e+01       12.84
  137    1.788953e+01       13.05
  138    1.788953e+01       12.90
  139    1.788953e+01       13.45
  140    1.788953e+01       13.92
  141    1.788953e+01       13.72
  142    1.788953e+01       14.33
  143    1.788953e+01       14.30
  144    1.788953e+01       14.62
  145    1.788953e+01       14.70
  146    1.788953e+01       14.79
  147    1.788953e+01       15.00
  148    1.788953e+01       15.38
  149    1.788953e+01       15.60
  150    1.788953e+01       15.64
  151    1.788953e+01       15.53
  152    1.788953e+01       15.14
  153    1.788953e+01       16.45
  154    1.788953e+01       16.93
  155    1.788953e+01       16.08
  156    1.788953e+01       15.31
  157    1.788953e+01       15.08
  158    1.788953e+01       15.10
  159    1.788953e+01       15.27
  160    1.788953e+01       15.18
  161    1.788953e+01       14.80
  162    1.788953e+01       15.20
  163    1.788953e+01       15.50
  164    1.788953e+01       15.92
  165    1.788953e+01       15.76
  166    1.788953e+01       15.89
  167    1.788953e+01       15.76
  168    1.788953e+01       15.80
  169    1.788953e+01       15.11
  170    1.788953e+01       15.11
  171    1.788953e+01       14.96
  172    1.788953e+01       15.07
  173    1.788953e+01       14.50
  174    1.788953e+01       14.22
  175    1.788953e+01       14.43
  176    1.788953e+01       14.64
  177    1.788953e+01       14.51
  178    1.788953e+01       14.54
  179    1.777405e+01       14.62
  180    1.777405e+01       14.63
  181    1.777405e+01       14.54
  182    1.777405e+01       15.25
  183    1.777405e+01       15.35
  184    1.777405e+01       16.06
  185    1.777405e+01       15.94
  186    1.777405e+01       15.91
  187    1.777405e+01       15.68
  188    1.777405e+01       15.31
  189    1.777405e+01       15.30
  190    1.766132e+01       15.66
  191    1.765984e+01       15.86
  192    1.765984e+01       15.61
  193    1.765984e+01       15.88
  194    1.765984e+01       16.30
  195    1.765984e+01       16.24
  196    1.765984e+01       16.49
  197    1.765984e+01       16.32
  198    1.765984e+01       16.42
  199    1.765984e+01       16.60
  200    1.765984e+01       16.75
