════════════════════════════════════════════════════════════
REGRESIÓN SIMBÓLICA CON DEAP — RESULTADOS
Fecha: 2026-06-13 18:09:57
════════════════════════════════════════════════════════════

Función objetivo : cos(x)/(1+Abs(x+y))
Población        : 500
Generaciones     : 200
P(cruza)         : 0.8
P(mutación)      : 0.2
Peso complejidad : 0.001
Umbral parada    : 0.01
Parada anticipada: No

────────────────────────────────────────
MEJOR INDIVIDUO
────────────────────────────────────────
Árbol       : np_mul(protectedExp(-2), np_mul(np_cos(x), protectedSqrt(protectedDiv(9, np_add(y, x)))))
Nodos       : 12
Profundidad : 5
Fitness     : 1.564830e-02
Expresión   : 0.406005849709838*cos(x)/sqrt(Abs(x + y))

────────────────────────────────────────
MÉTRICAS DE CALIDAD
────────────────────────────────────────
  MSE   : 3.648303e-03
  RMSE  : 6.040118e-02
  MAE   : 2.904483e-02
  R²    : 9.160968e-01

────────────────────────────────────────
EVOLUCIÓN POR GENERACIÓN
────────────────────────────────────────
  Gen         MSE mín   Tam. prom
    0    4.553919e-02        5.82
    1    4.553919e-02        4.39
    2    4.553919e-02        4.04
    3    4.553919e-02        3.01
    4    4.553919e-02        2.23
    5    4.553919e-02        2.21
    6    4.453919e-02        2.21
    7    4.453919e-02        2.06
    8    4.453919e-02        2.17
    9    4.453919e-02        1.88
   10    4.453919e-02        1.50
   11    3.250127e-02        1.26
   12    3.250127e-02        1.43
   13    3.150127e-02        1.61
   14    3.150127e-02        2.84
   15    2.864530e-02        5.49
   16    2.840534e-02        8.17
   17    2.840534e-02        8.92
   18    2.840534e-02        8.89
   19    2.840534e-02        8.61
   20    2.840534e-02        8.30
   21    2.740534e-02        8.39
   22    2.740534e-02        8.21
   23    2.740534e-02        8.12
   24    2.740534e-02        7.95
   25    2.740534e-02        8.14
   26    2.740534e-02        8.09
   27    2.649939e-02        7.71
   28    2.649939e-02        7.61
   29    2.649939e-02        7.89
   30    2.649939e-02        8.09
   31    2.470462e-02        8.02
   32    2.456169e-02        8.72
   33    2.414177e-02        9.30
   34    1.903781e-02        9.91
   35    1.903781e-02       10.08
   36    1.809749e-02       10.69
   37    1.771376e-02       11.20
   38    1.771376e-02       11.70
   39    1.771376e-02       11.55
   40    1.771376e-02       11.25
   41    1.771376e-02       11.84
   42    1.771376e-02       11.72
   43    1.771376e-02       11.38
   44    1.664395e-02       11.39
   45    1.664395e-02       11.17
   46    1.664395e-02       11.46
   47    1.664395e-02       11.46
   48    1.664395e-02       11.60
   49    1.664395e-02       11.23
   50    1.664395e-02       11.42
   51    1.664395e-02       11.40
   52    1.664395e-02       11.26
   53    1.664395e-02       11.21
   54    1.664395e-02       11.24
   55    1.664395e-02       10.92
   56    1.664395e-02       10.86
   57    1.664395e-02       10.86
   58    1.664395e-02       10.74
   59    1.588696e-02       10.62
   60    1.588696e-02       10.67
   61    1.588696e-02       10.64
   62    1.588696e-02       10.81
   63    1.565950e-02       10.76
   64    1.565950e-02       10.58
   65    1.564830e-02       10.39
   66    1.564830e-02       10.12
   67    1.564830e-02       10.19
   68    1.564830e-02       10.26
   69    1.564830e-02       10.38
   70    1.564830e-02       10.57
   71    1.564830e-02       10.76
   72    1.564830e-02       10.73
   73    1.564830e-02       10.81
   74    1.564830e-02       10.69
   75    1.564830e-02       10.59
   76    1.564830e-02       10.53
   77    1.564830e-02       10.68
   78    1.564830e-02       10.37
   79    1.564830e-02       10.62
   80    1.564830e-02       10.48
   81    1.564830e-02       10.27
   82    1.564830e-02       10.17
   83    1.564830e-02       10.38
   84    1.564830e-02       10.24
   85    1.564830e-02       10.22
   86    1.564830e-02       10.07
   87    1.564830e-02        9.96
   88    1.564830e-02       10.24
   89    1.564830e-02       10.47
   90    1.564830e-02       10.65
   91    1.564830e-02       10.19
   92    1.564830e-02       10.39
   93    1.564830e-02       10.40
   94    1.564830e-02       10.70
   95    1.564830e-02       10.87
   96    1.564830e-02       10.87
   97    1.564830e-02       10.82
   98    1.564830e-02       10.43
   99    1.564830e-02       10.79
  100    1.564830e-02       10.79
  101    1.564830e-02       10.65
  102    1.564830e-02       10.74
  103    1.564830e-02       10.88
  104    1.564830e-02       10.57
  105    1.564830e-02       10.74
  106    1.564830e-02       11.07
  107    1.564830e-02       10.67
  108    1.564830e-02       10.81
  109    1.564830e-02       10.75
  110    1.564830e-02       10.61
  111    1.564830e-02       10.77
  112    1.564830e-02       11.02
  113    1.564830e-02       10.69
  114    1.564830e-02       10.70
  115    1.564830e-02       10.44
  116    1.564830e-02       10.15
  117    1.564830e-02       10.06
  118    1.564830e-02       10.52
  119    1.564830e-02       10.51
  120    1.564830e-02       10.53
  121    1.564830e-02       10.28
  122    1.564830e-02       10.16
  123    1.564830e-02       10.15
  124    1.564830e-02       10.17
  125    1.564830e-02       10.34
